CMDLINE python realtime_serial.py
MEM 0.031250 1675698926.7298
MEM 9.109375 1675698926.8303
MEM 36.769531 1675698926.9308
MEM 40.914062 1675698927.0312
MEM 42.718750 1675698927.1316
MEM 46.339844 1675698927.2319
MEM 47.078125 1675698927.3323
MEM 48.070312 1675698927.4328
MEM 48.773438 1675698927.5333
MEM 50.714844 1675698927.6337
MEM 52.031250 1675698927.7342
MEM 56.781250 1675698927.8345
MEM 58.261719 1675698927.9349
MEM 62.023438 1675698928.0353
MEM 64.640625 1675698928.1357
MEM 67.351562 1675698928.2361
MEM 71.332031 1675698928.3365
MEM 74.835938 1675698928.4369
MEM 76.128906 1675698928.5372
MEM 77.601562 1675698928.6376
MEM 78.246094 1675698928.7381
MEM 79.320312 1675698928.8386
MEM 80.648438 1675698928.9391
MEM 82.066406 1675698929.0396
MEM 83.039062 1675698929.1401
MEM 84.574219 1675698929.2405
MEM 86.273438 1675698929.3409
MEM 88.625000 1675698929.4413
MEM 89.062500 1675698929.5418
MEM 89.062500 1675698929.6423
MEM 90.625000 1675698929.7426
MEM 91.574219 1675698929.8431
MEM 92.890625 1675698929.9434
MEM 92.890625 1675698930.0438
MEM 93.695312 1675698930.1443
MEM 96.078125 1675698930.2448
MEM 97.167969 1675698930.3453
MEM 98.167969 1675698930.4458
MEM 100.816406 1675698930.5462
MEM 102.589844 1675698930.6466
MEM 103.148438 1675698930.7471
MEM 107.101562 1675698930.8475
MEM 107.617188 1675698930.9481
MEM 107.957031 1675698931.0485
MEM 108.003906 1675698931.1489
MEM 108.066406 1675698931.2494
MEM 108.148438 1675698931.3498
MEM 111.453125 1675698931.4503
MEM 113.011719 1675698931.5508
MEM 116.515625 1675698931.6513
MEM 121.781250 1675698931.7518
MEM 124.359375 1675698931.8524
MEM 126.734375 1675698931.9526
MEM 133.656250 1675698932.0529
MEM 136.300781 1675698932.1532
MEM 138.914062 1675698932.2535
MEM 141.562500 1675698932.3539
MEM 143.898438 1675698932.4545
MEM 145.449219 1675698932.5549
MEM 147.738281 1675698932.6553
MEM 151.332031 1675698932.7558
MEM 152.789062 1675698932.8562
MEM 155.347656 1675698932.9566
MEM 156.378906 1675698933.0573
MEM 159.597656 1675698933.1577
MEM 161.269531 1675698933.2583
MEM 162.386719 1675698933.3588
MEM 162.511719 1675698933.4593
MEM 162.539062 1675698933.5598
MEM 162.664062 1675698933.6602
MEM 162.746094 1675698933.7606
MEM 162.792969 1675698933.8611
MEM 162.875000 1675698933.9616
MEM 163.035156 1675698934.0621
MEM 174.730469 1675698934.1627
MEM 180.484375 1675698934.2632
MEM 182.710938 1675698934.3637
MEM 184.898438 1675698934.4640
MEM 186.468750 1675698934.5645
MEM 188.093750 1675698934.6650
MEM 193.386719 1675698934.7653
MEM 193.898438 1675698934.8657
MEM 199.878906 1675698934.9661
MEM 207.000000 1675698935.0666
MEM 211.941406 1675698935.1673
MEM 214.917969 1675698935.2678
MEM 217.277344 1675698935.3683
MEM 220.121094 1675698935.4688
MEM 223.871094 1675698935.5691
MEM 228.660156 1675698935.6696
MEM 231.789062 1675698935.7699
MEM 236.972656 1675698935.8704
MEM 240.882812 1675698935.9708
MEM 254.066406 1675698936.0712
MEM 255.238281 1675698936.1717
MEM 259.257812 1675698936.2721
MEM 259.257812 1675698936.3726
MEM 259.257812 1675698936.4732
MEM 275.777344 1675698936.5736
MEM 281.960938 1675698936.6740
MEM 283.250000 1675698936.7747
MEM 283.250000 1675698936.8752
MEM 283.250000 1675698936.9756
MEM 283.250000 1675698937.0760
MEM 283.250000 1675698937.1764
MEM 283.648438 1675698937.2769
MEM 283.738281 1675698937.3775
MEM 283.750000 1675698937.4781
MEM 283.750000 1675698937.5787
MEM 283.750000 1675698937.6792
MEM 283.750000 1675698937.7798
MEM 283.750000 1675698937.8803
MEM 284.996094 1675698937.9809
MEM 284.996094 1675698938.0813
MEM 285.101562 1675698938.1818
MEM 285.101562 1675698938.2824
MEM 285.101562 1675698938.3830
MEM 285.101562 1675698938.4836
MEM 285.101562 1675698938.5842
MEM 285.101562 1675698938.6847
MEM 285.101562 1675698938.7853
MEM 288.492188 1675698938.8859
MEM 288.492188 1675698938.9865
MEM 288.492188 1675698939.0871
MEM 288.492188 1675698939.1877
MEM 288.492188 1675698939.2883
MEM 288.492188 1675698939.3888
MEM 288.492188 1675698939.4895
MEM 288.492188 1675698939.5901
MEM 288.492188 1675698939.6906
MEM 288.492188 1675698939.7912
MEM 288.492188 1675698939.8918
MEM 288.492188 1675698939.9924
MEM 288.492188 1675698940.0929
MEM 288.492188 1675698940.1936
MEM 288.492188 1675698940.2942
MEM 288.492188 1675698940.3948
MEM 288.492188 1675698940.4953
MEM 288.492188 1675698940.5959
MEM 288.492188 1675698940.6965
MEM 288.492188 1675698940.7971
MEM 288.492188 1675698940.8974
MEM 288.492188 1675698940.9979
MEM 288.371094 1675698941.0985
MEM 288.492188 1675698941.1989
MEM 288.492188 1675698941.2992
MEM 288.492188 1675698941.3995
MEM 288.492188 1675698941.4998
MEM 294.492188 1675698941.6004
MEM 313.890625 1675698941.7007
MEM 314.109375 1675698941.8012
MEM 314.109375 1675698941.9018
MEM 314.109375 1675698942.0023
MEM 314.109375 1675698942.1032
MEM 314.109375 1675698942.2036
MEM 314.109375 1675698942.3041
MEM 314.285156 1675698942.4046
MEM 314.285156 1675698942.5051
MEM 314.285156 1675698942.6057
MEM 314.285156 1675698942.7063
MEM 314.285156 1675698942.8069
MEM 314.285156 1675698942.9074
MEM 314.285156 1675698943.0079
MEM 314.285156 1675698943.1085
MEM 314.285156 1675698943.2091
MEM 314.285156 1675698943.3097
MEM 314.285156 1675698943.4101
MEM 314.285156 1675698943.5105
MEM 314.285156 1675698943.6110
MEM 314.285156 1675698943.7113
MEM 314.285156 1675698943.8117
MEM 314.285156 1675698943.9121
MEM 314.285156 1675698944.0126
MEM 314.285156 1675698944.1131
MEM 314.285156 1675698944.2134
MEM 314.285156 1675698944.3138
MEM 314.285156 1675698944.4143
MEM 314.285156 1675698944.5147
MEM 314.285156 1675698944.6151
MEM 314.285156 1675698944.7155
MEM 314.285156 1675698944.8161
