CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677247155.1452
MEM 19.382812 1677247155.2767
MEM 27.871094 1677247155.4262
MEM 29.121094 1677247155.5550
MEM 31.562500 1677247155.6843
MEM 37.015625 1677247155.8134
MEM 45.488281 1677247155.9433
MEM 47.656250 1677247156.0727
MEM 54.890625 1677247156.2006
MEM 57.453125 1677247156.3301
MEM 59.824219 1677247156.4586
MEM 62.125000 1677247156.5870
MEM 65.230469 1677247156.7155
MEM 66.851562 1677247156.8465
MEM 69.835938 1677247156.9780
MEM 72.179688 1677247157.1065
MEM 73.816406 1677247157.2368
MEM 77.363281 1677247157.3660
MEM 80.527344 1677247157.4971
MEM 82.917969 1677247157.6270
MEM 87.425781 1677247157.7580
MEM 88.058594 1677247157.8892
MEM 91.480469 1677247158.0197
MEM 96.523438 1677247158.1514
MEM 102.492188 1677247158.2806
MEM 106.417969 1677247158.4115
MEM 114.070312 1677247158.5414
MEM 118.277344 1677247158.6706
MEM 121.628906 1677247158.8008
MEM 127.023438 1677247158.9301
MEM 131.312500 1677247159.0596
MEM 134.085938 1677247159.1900
MEM 136.117188 1677247159.3190
MEM 139.652344 1677247159.4484
MEM 142.445312 1677247159.5771
MEM 142.730469 1677247159.7058
MEM 142.957031 1677247159.8340
MEM 143.167969 1677247159.9624
MEM 160.792969 1677247160.0878
MEM 162.917969 1677247160.2141
MEM 167.671875 1677247160.3403
MEM 173.433594 1677247160.4658
MEM 174.972656 1677247160.5913
MEM 185.039062 1677247160.7174
MEM 188.949219 1677247160.8432
MEM 195.058594 1677247160.9695
CHLD 0 193.695312 1677247160.9818
MEM 196.277344 1677247161.0958
MEM 200.164062 1677247161.2210
MEM 203.593750 1677247161.3465
MEM 203.593750 1677247161.4713
MEM 205.027344 1677247161.5959
MEM 212.718750 1677247161.7214
MEM 218.070312 1677247161.8460
MEM 218.070312 1677247161.9698
MEM 226.496094 1677247162.0945
MEM 3289.667969 1677247162.2216
CHLD 0 234.894531 1677247162.2355
CHLD 1 234.894531 1677247162.2356
CHLD 2 234.898438 1677247162.2356
CHLD 3 234.898438 1677247162.2356
CHLD 4 234.898438 1677247162.2356
CHLD 5 234.890625 1677247162.2356
CHLD 6 234.890625 1677247162.2356
CHLD 7 234.890625 1677247162.2357
CHLD 8 234.890625 1677247162.2357
CHLD 9 234.890625 1677247162.2357
CHLD 10 234.890625 1677247162.2357
CHLD 11 234.890625 1677247162.2357
CHLD 12 234.890625 1677247162.2357
CHLD 13 234.894531 1677247162.2357
CHLD 14 234.894531 1677247162.2358
MEM 7283.101562 1677247162.3511
CHLD 0 234.894531 1677247162.3653
CHLD 1 234.894531 1677247162.3653
CHLD 2 234.898438 1677247162.3653
CHLD 3 234.898438 1677247162.3654
CHLD 4 234.898438 1677247162.3654
CHLD 5 234.890625 1677247162.3654
CHLD 6 234.890625 1677247162.3654
CHLD 7 234.890625 1677247162.3654
CHLD 8 234.890625 1677247162.3654
CHLD 9 234.890625 1677247162.3654
CHLD 10 234.890625 1677247162.3655
CHLD 11 234.890625 1677247162.3655
CHLD 12 234.890625 1677247162.3655
CHLD 13 234.894531 1677247162.3655
CHLD 14 234.894531 1677247162.3655
CHLD 15 234.898438 1677247162.3655
CHLD 16 234.902344 1677247162.3655
CHLD 17 234.902344 1677247162.3655
CHLD 18 234.917969 1677247162.3656
CHLD 19 234.917969 1677247162.3656
CHLD 20 234.902344 1677247162.3656
CHLD 21 234.902344 1677247162.3656
CHLD 22 234.906250 1677247162.3656
CHLD 23 234.906250 1677247162.3656
CHLD 24 234.906250 1677247162.3656
CHLD 25 234.906250 1677247162.3657
CHLD 26 234.910156 1677247162.3657
CHLD 27 234.914062 1677247162.3657
CHLD 28 234.914062 1677247162.3657
CHLD 29 234.914062 1677247162.3657
CHLD 30 234.914062 1677247162.3657
MEM 11042.007812 1677247162.4822
CHLD 0 234.894531 1677247162.4977
CHLD 1 234.894531 1677247162.4977
CHLD 2 234.898438 1677247162.4977
CHLD 3 234.898438 1677247162.4977
CHLD 4 234.898438 1677247162.4978
CHLD 5 234.890625 1677247162.4978
CHLD 6 234.890625 1677247162.4978
CHLD 7 234.890625 1677247162.4978
CHLD 8 234.890625 1677247162.4978
CHLD 9 234.890625 1677247162.4978
CHLD 10 234.890625 1677247162.4978
CHLD 11 234.890625 1677247162.4979
CHLD 12 234.890625 1677247162.4979
CHLD 13 234.894531 1677247162.4979
CHLD 14 234.894531 1677247162.4979
CHLD 15 234.898438 1677247162.4979
CHLD 16 234.902344 1677247162.4979
CHLD 17 234.902344 1677247162.4979
CHLD 18 234.917969 1677247162.4980
CHLD 19 234.917969 1677247162.4980
CHLD 20 234.902344 1677247162.4980
CHLD 21 234.902344 1677247162.4980
CHLD 22 234.906250 1677247162.4980
CHLD 23 234.906250 1677247162.4980
CHLD 24 234.906250 1677247162.4980
CHLD 25 234.906250 1677247162.4980
CHLD 26 234.910156 1677247162.4981
CHLD 27 234.914062 1677247162.4981
CHLD 28 234.914062 1677247162.4981
CHLD 29 234.914062 1677247162.4981
CHLD 30 234.914062 1677247162.4981
CHLD 31 234.917969 1677247162.4981
CHLD 32 234.917969 1677247162.4981
CHLD 33 234.921875 1677247162.4982
CHLD 34 234.921875 1677247162.4982
CHLD 35 234.921875 1677247162.4982
CHLD 36 234.921875 1677247162.4982
CHLD 37 234.921875 1677247162.4982
CHLD 38 234.921875 1677247162.4982
CHLD 39 234.921875 1677247162.4982
CHLD 40 234.945312 1677247162.4983
CHLD 41 234.945312 1677247162.4983
CHLD 42 234.945312 1677247162.4983
CHLD 43 234.949219 1677247162.4983
CHLD 44 234.949219 1677247162.4983
CHLD 45 234.949219 1677247162.4983
CHLD 46 234.949219 1677247162.4983
CHLD 47 234.949219 1677247162.4984
MEM 14566.421875 1677247162.6163
CHLD 0 234.894531 1677247162.6326
CHLD 1 234.894531 1677247162.6326
CHLD 2 234.898438 1677247162.6326
CHLD 3 234.898438 1677247162.6327
CHLD 4 234.898438 1677247162.6327
CHLD 5 234.890625 1677247162.6327
CHLD 6 234.890625 1677247162.6327
CHLD 7 234.890625 1677247162.6327
CHLD 8 234.890625 1677247162.6327
CHLD 9 234.890625 1677247162.6327
CHLD 10 234.890625 1677247162.6328
CHLD 11 234.890625 1677247162.6328
CHLD 12 234.890625 1677247162.6328
CHLD 13 234.894531 1677247162.6328
CHLD 14 234.894531 1677247162.6328
CHLD 15 234.898438 1677247162.6328
CHLD 16 234.902344 1677247162.6328
