CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677247270.4924
MEM 18.214844 1677247270.6234
MEM 27.125000 1677247270.7654
MEM 30.566406 1677247270.8979
MEM 37.019531 1677247271.0279
MEM 47.574219 1677247271.1586
MEM 55.707031 1677247271.2894
MEM 61.664062 1677247271.4187
MEM 68.683594 1677247271.5491
MEM 72.175781 1677247271.6803
MEM 77.738281 1677247271.8109
MEM 82.101562 1677247271.9416
MEM 87.414062 1677247272.0723
MEM 88.046875 1677247272.2030
MEM 91.476562 1677247272.3334
MEM 94.320312 1677247272.4638
MEM 100.792969 1677247272.5947
MEM 106.097656 1677247272.7250
MEM 113.496094 1677247272.8555
MEM 118.164062 1677247272.9859
MEM 121.488281 1677247273.1162
MEM 127.289062 1677247273.2483
MEM 131.328125 1677247273.3795
MEM 134.593750 1677247273.5096
MEM 136.113281 1677247273.6392
MEM 139.660156 1677247273.7692
MEM 142.519531 1677247273.8992
MEM 143.125000 1677247274.0288
MEM 162.843750 1677247274.1585
MEM 170.773438 1677247274.2886
MEM 173.437500 1677247274.4188
MEM 176.000000 1677247274.5489
MEM 185.570312 1677247274.6793
MEM 191.496094 1677247274.8093
MEM 193.144531 1677247274.9391
MEM 200.398438 1677247275.0658
MEM 206.898438 1677247275.1913
MEM 215.382812 1677247275.3165
MEM 231.257812 1677247275.4440
MEM 2808.300781 1677247275.5744
CHLD 0 232.488281 1677247275.5887
CHLD 1 232.468750 1677247275.5887
CHLD 2 232.468750 1677247275.5887
CHLD 3 232.492188 1677247275.5887
CHLD 4 232.472656 1677247275.5888
CHLD 5 232.476562 1677247275.5888
CHLD 6 232.480469 1677247275.5888
CHLD 7 232.480469 1677247275.5888
CHLD 8 232.480469 1677247275.5888
CHLD 9 232.480469 1677247275.5888
CHLD 10 232.484375 1677247275.5888
MEM 2873.460938 1677247275.7040
CHLD 0 232.488281 1677247275.7185
CHLD 1 264.722656 1677247275.7185
CHLD 2 259.304688 1677247275.7186
CHLD 3 232.492188 1677247275.7186
CHLD 4 232.472656 1677247275.7186
CHLD 5 232.476562 1677247275.7186
CHLD 6 232.480469 1677247275.7186
CHLD 7 232.480469 1677247275.7186
CHLD 8 232.480469 1677247275.7186
CHLD 9 232.480469 1677247275.7187
CHLD 10 232.484375 1677247275.7187
MEM 2923.902344 1677247275.8342
CHLD 0 232.488281 1677247275.8488
CHLD 1 268.785156 1677247275.8488
CHLD 2 267.621094 1677247275.8489
CHLD 3 264.003906 1677247275.8489
CHLD 4 282.671875 1677247275.8489
CHLD 5 232.476562 1677247275.8489
CHLD 6 232.480469 1677247275.8489
CHLD 7 232.480469 1677247275.8490
CHLD 8 232.480469 1677247275.8490
CHLD 9 232.480469 1677247275.8490
CHLD 10 232.484375 1677247275.8490
MEM 3035.671875 1677247275.9664
CHLD 0 232.488281 1677247275.9838
CHLD 1 268.785156 1677247275.9838
CHLD 2 267.621094 1677247275.9838
CHLD 3 268.160156 1677247275.9838
CHLD 4 267.539062 1677247275.9838
CHLD 5 264.175781 1677247275.9839
CHLD 6 265.414062 1677247275.9839
CHLD 7 232.480469 1677247275.9839
CHLD 8 232.480469 1677247275.9839
CHLD 9 232.480469 1677247275.9840
CHLD 10 232.484375 1677247275.9840
MEM 3121.476562 1677247276.0999
CHLD 0 232.488281 1677247276.1152
CHLD 1 287.566406 1677247276.1152
CHLD 2 279.687500 1677247276.1152
CHLD 3 268.160156 1677247276.1153
CHLD 4 267.539062 1677247276.1153
CHLD 5 267.031250 1677247276.1153
CHLD 6 266.683594 1677247276.1153
CHLD 7 264.015625 1677247276.1153
CHLD 8 262.156250 1677247276.1153
CHLD 9 232.480469 1677247276.1154
CHLD 10 232.484375 1677247276.1154
MEM 3531.488281 1677247276.2312
CHLD 0 232.488281 1677247276.2463
CHLD 1 345.894531 1677247276.2463
CHLD 2 311.667969 1677247276.2464
CHLD 3 310.164062 1677247276.2464
CHLD 4 331.121094 1677247276.2464
CHLD 5 322.273438 1677247276.2464
CHLD 6 321.277344 1677247276.2464
CHLD 7 320.796875 1677247276.2464
CHLD 8 264.187500 1677247276.2464
CHLD 9 262.429688 1677247276.2465
CHLD 10 232.484375 1677247276.2465
MEM 3569.449219 1677247276.3635
CHLD 0 232.488281 1677247276.3786
CHLD 1 345.894531 1677247276.3786
CHLD 2 311.667969 1677247276.3786
CHLD 3 310.164062 1677247276.3787
CHLD 4 331.121094 1677247276.3787
CHLD 5 322.812500 1677247276.3787
CHLD 6 325.546875 1677247276.3787
CHLD 7 325.054688 1677247276.3787
CHLD 8 268.496094 1677247276.3787
CHLD 9 266.492188 1677247276.3788
CHLD 10 264.433594 1677247276.3788
MEM 3775.410156 1677247276.4971
CHLD 0 232.488281 1677247276.5143
CHLD 1 345.894531 1677247276.5143
CHLD 2 311.667969 1677247276.5143
CHLD 3 310.164062 1677247276.5143
CHLD 4 359.132812 1677247276.5144
CHLD 5 323.898438 1677247276.5144
CHLD 6 527.160156 1677247276.5144
CHLD 7 328.437500 1677247276.5144
CHLD 8 268.496094 1677247276.5144
CHLD 9 268.281250 1677247276.5144
CHLD 10 267.652344 1677247276.5145
MEM 4107.910156 1677247276.6322
CHLD 0 232.488281 1677247276.6507
CHLD 1 352.050781 1677247276.6507
CHLD 2 311.667969 1677247276.6507
CHLD 3 312.218750 1677247276.6507
CHLD 4 359.378906 1677247276.6507
CHLD 5 569.167969 1677247276.6508
CHLD 6 499.839844 1677247276.6508
CHLD 7 328.437500 1677247276.6508
CHLD 8 280.632812 1677247276.6508
CHLD 9 270.050781 1677247276.6508
CHLD 10 280.644531 1677247276.6508
MEM 4367.609375 1677247276.7677
CHLD 0 232.488281 1677247276.7838
CHLD 1 353.523438 1677247276.7838
CHLD 2 313.871094 1677247276.7838
CHLD 3 312.218750 1677247276.7839
CHLD 4 473.304688 1677247276.7839
