CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677250342.4587
MEM 36.636719 1677250342.5845
MEM 46.046875 1677250342.7091
MEM 50.421875 1677250342.8324
MEM 58.824219 1677250342.9554
MEM 66.507812 1677250343.0788
MEM 77.496094 1677250343.2027
MEM 81.515625 1677250343.3261
MEM 84.667969 1677250343.4502
MEM 87.230469 1677250343.5739
MEM 90.507812 1677250343.6976
MEM 95.226562 1677250343.8214
MEM 96.167969 1677250343.9454
MEM 103.183594 1677250344.0691
MEM 105.593750 1677250344.1926
MEM 109.230469 1677250344.3167
MEM 113.953125 1677250344.4408
MEM 123.097656 1677250344.5651
MEM 126.917969 1677250344.6900
MEM 133.589844 1677250344.8114
MEM 137.710938 1677250344.9341
MEM 143.675781 1677250345.0589
MEM 148.292969 1677250345.1839
MEM 152.289062 1677250345.3085
MEM 154.343750 1677250345.4343
MEM 159.023438 1677250345.5607
MEM 160.785156 1677250345.6859
MEM 176.773438 1677250345.8110
MEM 186.429688 1677250345.9377
MEM 191.660156 1677250346.0641
MEM 192.687500 1677250346.1893
MEM 198.105469 1677250346.3148
MEM 207.621094 1677250346.4409
MEM 208.312500 1677250346.5661
CHLD 0 0.035156 1677250346.5783
MEM 209.601562 1677250346.6913
MEM 213.773438 1677250346.8163
MEM 214.605469 1677250346.9410
MEM 219.105469 1677250347.0659
MEM 224.816406 1677250347.1916
MEM 233.128906 1677250347.3167
MEM 253.710938 1677250347.4419
MEM 1848.546875 1677250347.5678
CHLD 0 262.148438 1677250347.5805
CHLD 1 264.953125 1677250347.5805
CHLD 2 264.953125 1677250347.5805
CHLD 3 264.445312 1677250347.5805
CHLD 4 264.332031 1677250347.5805
CHLD 5 264.332031 1677250347.5806
CHLD 6 265.070312 1677250347.5806
MEM 5046.296875 1677250347.6951
CHLD 0 262.148438 1677250347.7092
CHLD 1 267.484375 1677250347.7093
CHLD 2 267.117188 1677250347.7093
CHLD 3 267.125000 1677250347.7093
CHLD 4 266.324219 1677250347.7093
CHLD 5 266.789062 1677250347.7093
CHLD 6 266.863281 1677250347.7093
CHLD 7 266.550781 1677250347.7094
CHLD 8 266.691406 1677250347.7094
CHLD 9 266.441406 1677250347.7094
CHLD 10 265.964844 1677250347.7094
CHLD 11 265.902344 1677250347.7094
CHLD 12 265.574219 1677250347.7094
CHLD 13 265.480469 1677250347.7095
CHLD 14 265.222656 1677250347.7095
CHLD 15 264.960938 1677250347.7095
CHLD 16 264.597656 1677250347.7095
CHLD 17 264.605469 1677250347.7095
CHLD 18 265.093750 1677250347.7095
MEM 6638.894531 1677250347.8252
CHLD 0 262.160156 1677250347.8397
CHLD 1 267.484375 1677250347.8397
CHLD 2 267.117188 1677250347.8398
CHLD 3 267.125000 1677250347.8398
CHLD 4 266.324219 1677250347.8398
CHLD 5 266.789062 1677250347.8398
CHLD 6 266.863281 1677250347.8398
CHLD 7 266.550781 1677250347.8398
CHLD 8 266.691406 1677250347.8399
CHLD 9 266.441406 1677250347.8399
CHLD 10 265.972656 1677250347.8399
CHLD 11 265.898438 1677250347.8399
CHLD 12 265.792969 1677250347.8399
CHLD 13 265.878906 1677250347.8399
CHLD 14 0.000000 1677250347.8399
CHLD 15 265.734375 1677250347.8400
CHLD 16 265.750000 1677250347.8400
CHLD 17 264.726562 1677250347.8400
CHLD 18 264.808594 1677250347.8400
CHLD 19 264.609375 1677250347.8400
CHLD 20 264.808594 1677250347.8400
CHLD 21 264.609375 1677250347.8401
CHLD 22 264.609375 1677250347.8401
CHLD 23 264.609375 1677250347.8401
CHLD 24 264.613281 1677250347.8401
MEM 8774.683594 1677250347.9565
CHLD 0 262.175781 1677250347.9720
CHLD 1 287.277344 1677250347.9720
CHLD 2 275.570312 1677250347.9720
CHLD 3 276.105469 1677250347.9720
CHLD 4 280.394531 1677250347.9721
CHLD 5 279.054688 1677250347.9721
CHLD 6 279.785156 1677250347.9721
CHLD 7 277.468750 1677250347.9721
CHLD 8 271.320312 1677250347.9721
CHLD 9 356.300781 1677250347.9721
CHLD 10 414.191406 1677250347.9721
CHLD 11 267.683594 1677250347.9722
CHLD 12 266.687500 1677250347.9722
CHLD 13 267.519531 1677250347.9722
CHLD 14 266.363281 1677250347.9722
CHLD 15 267.160156 1677250347.9722
CHLD 16 266.378906 1677250347.9722
CHLD 17 266.351562 1677250347.9722
CHLD 18 266.378906 1677250347.9723
CHLD 19 266.238281 1677250347.9723
CHLD 20 266.132812 1677250347.9723
CHLD 21 266.097656 1677250347.9723
CHLD 22 265.910156 1677250347.9723
CHLD 23 265.921875 1677250347.9723
CHLD 24 265.265625 1677250347.9723
CHLD 25 265.128906 1677250347.9724
CHLD 26 265.128906 1677250347.9724
CHLD 27 265.058594 1677250347.9724
CHLD 28 264.890625 1677250347.9724
CHLD 29 264.972656 1677250347.9724
CHLD 30 264.796875 1677250347.9724
CHLD 31 264.628906 1677250347.9725
CHLD 32 265.117188 1677250347.9725
MEM 11492.921875 1677250348.0892
CHLD 0 400.867188 1677250348.1050
CHLD 1 279.402344 1677250348.1050
CHLD 2 275.570312 1677250348.1050
CHLD 3 289.851562 1677250348.1051
CHLD 4 271.320312 1677250348.1051
CHLD 5 273.714844 1677250348.1051
CHLD 6 271.570312 1677250348.1051
CHLD 7 277.468750 1677250348.1051
CHLD 8 355.910156 1677250348.1051
CHLD 9 269.175781 1677250348.1051
CHLD 10 268.148438 1677250348.1052
CHLD 11 267.683594 1677250348.1052
CHLD 12 266.687500 1677250348.1052
CHLD 13 267.519531 1677250348.1052
CHLD 14 266.363281 1677250348.1052
CHLD 15 267.160156 1677250348.1052
CHLD 16 266.378906 1677250348.1052
CHLD 17 275.605469 1677250348.1053
CHLD 18 266.398438 1677250348.1053
CHLD 19 275.539062 1677250348.1053
CHLD 20 265.265625 1677250348.1053
CHLD 21 264.742188 1677250348.1053
CHLD 22 264.464844 1677250348.1053
CHLD 23 0.000000 1677250348.1054
CHLD 24 0.000000 1677250348.1054
CHLD 25 0.000000 1677250348.1054
CHLD 26 0.000000 1677250348.1054
CHLD 27 0.000000 1677250348.1054
CHLD 28 0.000000 1677250348.1054
CHLD 29 0.000000 1677250348.1054
CHLD 30 267.039062 1677250348.1055
CHLD 31 266.542969 1677250348.1055
CHLD 32 265.574219 1677250348.1055
CHLD 33 265.261719 1677250348.1055
CHLD 34 264.503906 1677250348.1055
CHLD 35 264.269531 1677250348.1055
CHLD 36 264.269531 1677250348.1055
CHLD 37 264.269531 1677250348.1056
CHLD 38 262.121094 1677250348.1056
CHLD 39 262.121094 1677250348.1056
CHLD 40 262.128906 1677250348.1056
CHLD 41 262.128906 1677250348.1056
CHLD 42 262.128906 1677250348.1056
MEM 11727.609375 1677250348.2262
CHLD 0 518.953125 1677250348.2430
CHLD 1 279.488281 1677250348.2430
CHLD 2 275.570312 1677250348.2430
CHLD 3 279.511719 1677250348.2431
CHLD 4 271.320312 1677250348.2431
CHLD 5 273.714844 1677250348.2431
CHLD 6 271.570312 1677250348.2431
CHLD 7 277.468750 1677250348.2431
CHLD 8 282.730469 1677250348.2431
CHLD 9 282.964844 1677250348.2432
CHLD 10 267.519531 1677250348.2432
CHLD 11 279.464844 1677250348.2432
CHLD 12 281.007812 1677250348.2432
CHLD 13 370.445312 1677250348.2432
CHLD 14 362.062500 1677250348.2432
CHLD 15 355.910156 1677250348.2432
CHLD 16 361.367188 1677250348.2433
CHLD 17 267.769531 1677250348.2433
CHLD 18 268.527344 1677250348.2433
CHLD 19 267.699219 1677250348.2433
CHLD 20 266.675781 1677250348.2433
CHLD 21 265.515625 1677250348.2433
CHLD 22 264.632812 1677250348.2433
CHLD 23 265.273438 1677250348.2434
CHLD 24 265.527344 1677250348.2434
CHLD 25 265.269531 1677250348.2434
CHLD 26 265.523438 1677250348.2434
CHLD 27 266.562500 1677250348.2434
CHLD 28 266.550781 1677250348.2434
CHLD 29 266.492188 1677250348.2435
CHLD 30 264.644531 1677250348.2435
CHLD 31 265.019531 1677250348.2435
CHLD 32 264.648438 1677250348.2435
CHLD 33 264.687500 1677250348.2435
CHLD 34 264.648438 1677250348.2435
CHLD 35 264.652344 1677250348.2435
CHLD 36 264.652344 1677250348.2436
CHLD 37 264.902344 1677250348.2436
CHLD 38 264.652344 1677250348.2436
CHLD 39 262.140625 1677250348.2436
CHLD 40 262.144531 1677250348.2436
CHLD 41 262.144531 1677250348.2436
MEM 14614.292969 1677250348.3614
CHLD 0 752.792969 1677250348.3770
CHLD 1 279.484375 1677250348.3770
CHLD 2 275.570312 1677250348.3770
CHLD 3 279.511719 1677250348.3770
CHLD 4 272.789062 1677250348.3770
CHLD 5 273.714844 1677250348.3770
CHLD 6 271.570312 1677250348.3771
CHLD 7 280.070312 1677250348.3771
CHLD 8 278.023438 1677250348.3771
CHLD 9 278.351562 1677250348.3771
CHLD 10 287.730469 1677250348.3771
CHLD 11 279.464844 1677250348.3771
CHLD 12 274.144531 1677250348.3772
CHLD 13 271.527344 1677250348.3772
CHLD 14 305.804688 1677250348.3772
CHLD 15 355.910156 1677250348.3772
CHLD 16 305.109375 1677250348.3772
CHLD 17 267.769531 1677250348.3772
CHLD 18 268.527344 1677250348.3772
CHLD 19 267.699219 1677250348.3773
CHLD 20 266.675781 1677250348.3773
CHLD 21 267.109375 1677250348.3773
CHLD 22 266.601562 1677250348.3773
CHLD 23 266.667969 1677250348.3773
CHLD 24 266.886719 1677250348.3774
CHLD 25 266.894531 1677250348.3774
CHLD 26 266.738281 1677250348.3774
CHLD 27 266.750000 1677250348.3774
CHLD 28 266.617188 1677250348.3774
CHLD 29 266.492188 1677250348.3774
CHLD 30 266.347656 1677250348.3774
CHLD 31 265.664062 1677250348.3775
CHLD 32 265.378906 1677250348.3775
CHLD 33 265.375000 1677250348.3775
CHLD 34 265.390625 1677250348.3775
CHLD 35 265.355469 1677250348.3775
CHLD 36 265.011719 1677250348.3775
CHLD 37 266.511719 1677250348.3776
CHLD 38 266.328125 1677250348.3776
CHLD 39 265.531250 1677250348.3776
CHLD 40 264.515625 1677250348.3776
CHLD 41 262.144531 1677250348.3776
CHLD 42 262.140625 1677250348.3776
CHLD 43 262.140625 1677250348.3776
CHLD 44 262.144531 1677250348.3777
CHLD 45 262.144531 1677250348.3777
CHLD 46 262.144531 1677250348.3777
CHLD 47 262.144531 1677250348.3777
CHLD 48 262.144531 1677250348.3777
CHLD 49 262.144531 1677250348.3777
CHLD 50 262.148438 1677250348.3777
CHLD 51 262.152344 1677250348.3778
CHLD 52 262.152344 1677250348.3778
MEM 17652.988281 1677250348.4955
CHLD 0 755.722656 1677250348.5122
CHLD 1 279.484375 1677250348.5123
CHLD 2 279.273438 1677250348.5123
CHLD 3 279.511719 1677250348.5123
CHLD 4 274.207031 1677250348.5123
CHLD 5 276.945312 1677250348.5123
CHLD 6 274.457031 1677250348.5123
CHLD 7 280.070312 1677250348.5124
CHLD 8 278.023438 1677250348.5124
CHLD 9 278.351562 1677250348.5124
CHLD 10 279.761719 1677250348.5124
CHLD 11 279.464844 1677250348.5124
CHLD 12 274.144531 1677250348.5124
CHLD 13 270.773438 1677250348.5124
CHLD 14 269.574219 1677250348.5125
CHLD 15 299.652344 1677250348.5125
