CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677250391.7930
MEM 27.656250 1677250391.9200
MEM 37.328125 1677250392.0469
MEM 38.316406 1677250392.1724
MEM 42.457031 1677250392.2980
MEM 42.960938 1677250392.4238
MEM 51.335938 1677250392.5494
MEM 57.808594 1677250392.6750
MEM 65.113281 1677250392.8004
MEM 67.429688 1677250392.9254
MEM 69.781250 1677250393.0509
MEM 75.890625 1677250393.1763
MEM 83.382812 1677250393.3019
MEM 87.171875 1677250393.4280
MEM 91.082031 1677250393.5523
MEM 97.628906 1677250393.6768
MEM 98.250000 1677250393.8029
MEM 98.410156 1677250393.9273
MEM 106.238281 1677250394.0506
MEM 115.394531 1677250394.1748
MEM 119.679688 1677250394.3006
MEM 126.726562 1677250394.4246
MEM 129.753906 1677250394.5491
MEM 132.902344 1677250394.6734
MEM 135.710938 1677250394.7978
MEM 135.964844 1677250394.9222
MEM 140.769531 1677250395.0464
MEM 144.312500 1677250395.1721
MEM 146.601562 1677250395.2980
MEM 150.535156 1677250395.4227
MEM 152.652344 1677250395.5472
MEM 153.042969 1677250395.6724
MEM 153.113281 1677250395.7962
MEM 153.312500 1677250395.9208
MEM 160.847656 1677250396.0449
MEM 172.234375 1677250396.1692
MEM 172.234375 1677250396.2935
MEM 175.312500 1677250396.4183
MEM 183.468750 1677250396.5442
MEM 183.914062 1677250396.6689
MEM 188.761719 1677250396.7939
MEM 197.777344 1677250396.9190
MEM 202.722656 1677250397.0448
MEM 201.246094 1677250397.1689
CHLD 0 0.000000 1677250397.1805
MEM 204.695312 1677250397.2936
MEM 247.253906 1677250397.4184
MEM 2317.863281 1677250397.5435
CHLD 0 255.589844 1677250397.5564
CHLD 1 258.371094 1677250397.5564
CHLD 2 258.125000 1677250397.5565
CHLD 3 257.984375 1677250397.5565
CHLD 4 257.765625 1677250397.5565
CHLD 5 257.765625 1677250397.5565
CHLD 6 257.773438 1677250397.5565
CHLD 7 258.023438 1677250397.5565
CHLD 8 258.121094 1677250397.5565
CHLD 9 258.503906 1677250397.5566
MEM 6986.371094 1677250397.6722
CHLD 0 255.589844 1677250397.6862
CHLD 1 259.378906 1677250397.6862
CHLD 2 259.195312 1677250397.6863
CHLD 3 259.488281 1677250397.6863
CHLD 4 259.843750 1677250397.6863
CHLD 5 259.960938 1677250397.6863
CHLD 6 259.980469 1677250397.6863
CHLD 7 259.648438 1677250397.6863
CHLD 8 259.785156 1677250397.6863
CHLD 9 259.613281 1677250397.6864
CHLD 10 259.460938 1677250397.6864
CHLD 11 259.421875 1677250397.6864
CHLD 12 259.582031 1677250397.6864
CHLD 13 258.617188 1677250397.6864
CHLD 14 258.656250 1677250397.6864
CHLD 15 258.867188 1677250397.6864
CHLD 16 258.550781 1677250397.6865
CHLD 17 258.339844 1677250397.6865
CHLD 18 258.117188 1677250397.6865
CHLD 19 258.132812 1677250397.6865
CHLD 20 258.171875 1677250397.6865
CHLD 21 258.031250 1677250397.6865
CHLD 22 258.285156 1677250397.6865
CHLD 23 258.289062 1677250397.6866
CHLD 24 258.121094 1677250397.6866
CHLD 25 258.039062 1677250397.6866
CHLD 26 258.039062 1677250397.6866
CHLD 27 258.527344 1677250397.6866
MEM 8033.523438 1677250397.8027
CHLD 0 255.589844 1677250397.8179
CHLD 1 259.378906 1677250397.8179
CHLD 2 259.195312 1677250397.8179
CHLD 3 259.488281 1677250397.8180
CHLD 4 259.843750 1677250397.8180
CHLD 5 259.960938 1677250397.8180
CHLD 6 259.980469 1677250397.8180
CHLD 7 259.648438 1677250397.8180
CHLD 8 259.785156 1677250397.8180
CHLD 9 259.613281 1677250397.8181
CHLD 10 259.476562 1677250397.8181
CHLD 11 0.000000 1677250397.8181
CHLD 12 260.859375 1677250397.8181
CHLD 13 260.503906 1677250397.8181
CHLD 14 261.406250 1677250397.8181
CHLD 15 260.093750 1677250397.8181
CHLD 16 260.210938 1677250397.8182
CHLD 17 259.917969 1677250397.8182
CHLD 18 258.941406 1677250397.8182
CHLD 19 259.027344 1677250397.8182
CHLD 20 258.906250 1677250397.8182
CHLD 21 259.000000 1677250397.8182
CHLD 22 258.921875 1677250397.8183
CHLD 23 258.613281 1677250397.8183
CHLD 24 258.632812 1677250397.8183
CHLD 25 258.550781 1677250397.8183
CHLD 26 258.398438 1677250397.8183
CHLD 27 258.335938 1677250397.8183
CHLD 28 258.285156 1677250397.8183
CHLD 29 258.300781 1677250397.8184
CHLD 30 258.535156 1677250397.8184
MEM 8115.609375 1677250397.9350
CHLD 0 338.082031 1677250397.9506
CHLD 1 278.074219 1677250397.9506
CHLD 2 270.625000 1677250397.9506
CHLD 3 270.937500 1677250397.9506
CHLD 4 273.832031 1677250397.9506
