CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677250714.8944
MEM 26.671875 1677250715.0196
MEM 35.324219 1677250715.1456
MEM 37.683594 1677250715.2698
MEM 37.843750 1677250715.3941
MEM 45.210938 1677250715.5187
MEM 50.710938 1677250715.6432
MEM 59.847656 1677250715.7676
MEM 66.433594 1677250715.8921
MEM 70.324219 1677250716.0164
MEM 71.734375 1677250716.1410
MEM 75.066406 1677250716.2653
MEM 81.382812 1677250716.3900
MEM 85.945312 1677250716.5142
MEM 91.269531 1677250716.6383
MEM 95.628906 1677250716.7628
MEM 96.296875 1677250716.8870
MEM 99.718750 1677250717.0111
MEM 108.050781 1677250717.1354
MEM 113.644531 1677250717.2596
MEM 117.839844 1677250717.3839
MEM 124.769531 1677250717.5081
MEM 127.593750 1677250717.6333
MEM 131.671875 1677250717.7585
MEM 133.968750 1677250717.8830
MEM 138.582031 1677250718.0073
MEM 141.550781 1677250718.1317
MEM 144.089844 1677250718.2558
MEM 148.785156 1677250718.3801
MEM 150.890625 1677250718.5056
MEM 151.019531 1677250718.6303
MEM 151.128906 1677250718.7539
MEM 151.210938 1677250718.8778
MEM 167.976562 1677250719.0025
MEM 173.316406 1677250719.1265
MEM 177.203125 1677250719.2506
MEM 181.648438 1677250719.3762
MEM 184.722656 1677250719.5019
MEM 195.132812 1677250719.6273
MEM 199.949219 1677250719.7537
MEM 198.621094 1677250719.8797
MEM 205.996094 1677250720.0048
MEM 210.351562 1677250720.1296
MEM 224.183594 1677250720.2548
MEM 239.148438 1677250720.3798
MEM 252.488281 1677250720.5055
MEM 2813.207031 1677250720.6320
CHLD 0 253.507812 1677250720.6452
CHLD 1 257.191406 1677250720.6452
CHLD 2 256.917969 1677250720.6452
CHLD 3 256.667969 1677250720.6452
CHLD 4 256.425781 1677250720.6452
CHLD 5 255.765625 1677250720.6452
CHLD 6 255.691406 1677250720.6453
CHLD 7 255.691406 1677250720.6453
CHLD 8 255.792969 1677250720.6453
CHLD 9 255.691406 1677250720.6453
CHLD 10 256.429688 1677250720.6453
MEM 5642.558594 1677250720.7600
CHLD 0 253.507812 1677250720.7740
CHLD 1 257.304688 1677250720.7741
CHLD 2 257.105469 1677250720.7741
CHLD 3 257.410156 1677250720.7741
CHLD 4 256.949219 1677250720.7741
CHLD 5 257.066406 1677250720.7741
CHLD 6 257.199219 1677250720.7741
CHLD 7 256.863281 1677250720.7741
CHLD 8 256.949219 1677250720.7742
CHLD 9 256.828125 1677250720.7742
CHLD 10 257.007812 1677250720.7742
CHLD 11 257.328125 1677250720.7742
CHLD 12 256.609375 1677250720.7742
CHLD 13 256.535156 1677250720.7742
CHLD 14 256.718750 1677250720.7742
CHLD 15 256.292969 1677250720.7743
CHLD 16 255.960938 1677250720.7743
CHLD 17 255.953125 1677250720.7743
CHLD 18 255.953125 1677250720.7743
CHLD 19 255.953125 1677250720.7743
CHLD 20 255.953125 1677250720.7743
CHLD 21 255.953125 1677250720.7743
MEM 6163.519531 1677250720.8899
CHLD 0 253.523438 1677250720.9046
CHLD 1 257.304688 1677250720.9046
CHLD 2 263.484375 1677250720.9047
CHLD 3 257.410156 1677250720.9047
CHLD 4 266.117188 1677250720.9047
CHLD 5 257.066406 1677250720.9047
CHLD 6 257.199219 1677250720.9047
CHLD 7 256.863281 1677250720.9047
CHLD 8 256.949219 1677250720.9047
CHLD 9 256.828125 1677250720.9048
CHLD 10 258.597656 1677250720.9048
CHLD 11 0.000000 1677250720.9048
CHLD 12 257.480469 1677250720.9048
CHLD 13 257.207031 1677250720.9048
CHLD 14 256.703125 1677250720.9048
CHLD 15 257.027344 1677250720.9049
CHLD 16 256.027344 1677250720.9049
CHLD 17 256.468750 1677250720.9049
CHLD 18 256.218750 1677250720.9049
CHLD 19 256.230469 1677250720.9049
CHLD 20 255.964844 1677250720.9049
CHLD 21 256.218750 1677250720.9050
CHLD 22 256.218750 1677250720.9050
CHLD 23 255.972656 1677250720.9050
CHLD 24 256.460938 1677250720.9050
MEM 9153.031250 1677250721.0211
CHLD 0 309.847656 1677250721.0366
CHLD 1 269.269531 1677250721.0366
CHLD 2 267.601562 1677250721.0366
CHLD 3 278.464844 1677250721.0366
CHLD 4 270.816406 1677250721.0366
CHLD 5 273.039062 1677250721.0367
CHLD 6 271.066406 1677250721.0367
CHLD 7 268.570312 1677250721.0367
CHLD 8 351.148438 1677250721.0367
CHLD 9 352.488281 1677250721.0367
CHLD 10 295.976562 1677250721.0367
CHLD 11 257.410156 1677250721.0367
CHLD 12 257.464844 1677250721.0368
CHLD 13 258.222656 1677250721.0368
CHLD 14 258.015625 1677250721.0368
CHLD 15 257.316406 1677250721.0368
CHLD 16 256.703125 1677250721.0368
CHLD 17 256.863281 1677250721.0368
CHLD 18 256.949219 1677250721.0368
CHLD 19 256.828125 1677250721.0369
CHLD 20 256.921875 1677250721.0369
CHLD 21 256.843750 1677250721.0369
CHLD 22 256.539062 1677250721.0369
CHLD 23 256.539062 1677250721.0369
CHLD 24 256.468750 1677250721.0369
CHLD 25 256.242188 1677250721.0370
CHLD 26 256.011719 1677250721.0370
CHLD 27 254.003906 1677250721.0370
CHLD 28 254.261719 1677250721.0370
CHLD 29 255.976562 1677250721.0370
CHLD 30 255.980469 1677250721.0370
CHLD 31 255.984375 1677250721.0371
CHLD 32 255.984375 1677250721.0371
CHLD 33 253.472656 1677250721.0371
MEM 10001.980469 1677250721.1532
CHLD 0 505.519531 1677250721.1687
CHLD 1 352.984375 1677250721.1687
CHLD 2 267.601562 1677250721.1687
CHLD 3 269.375000 1677250721.1687
CHLD 4 270.816406 1677250721.1688
CHLD 5 264.691406 1677250721.1688
CHLD 6 271.066406 1677250721.1688
CHLD 7 268.570312 1677250721.1688
CHLD 8 299.152344 1677250721.1688
CHLD 9 260.433594 1677250721.1688
CHLD 10 257.410156 1677250721.1689
CHLD 11 257.464844 1677250721.1689
CHLD 12 258.222656 1677250721.1689
CHLD 13 259.312500 1677250721.1689
CHLD 14 257.316406 1677250721.1689
CHLD 15 265.792969 1677250721.1689
CHLD 16 268.570312 1677250721.1690
CHLD 17 266.046875 1677250721.1690
CHLD 18 267.894531 1677250721.1690
CHLD 19 256.785156 1677250721.1690
CHLD 20 256.265625 1677250721.1690
CHLD 21 255.484375 1677250721.1690
CHLD 22 255.085938 1677250721.1691
CHLD 23 254.351562 1677250721.1691
CHLD 24 257.992188 1677250721.1691
CHLD 25 257.539062 1677250721.1691
CHLD 26 256.042969 1677250721.1691
CHLD 27 255.984375 1677250721.1691
CHLD 28 256.242188 1677250721.1691
CHLD 29 253.492188 1677250721.1692
CHLD 30 253.472656 1677250721.1692
CHLD 31 253.472656 1677250721.1692
CHLD 32 253.476562 1677250721.1692
CHLD 33 253.476562 1677250721.1692
CHLD 34 253.480469 1677250721.1692
CHLD 35 253.480469 1677250721.1692
CHLD 36 253.480469 1677250721.1693
CHLD 37 253.484375 1677250721.1693
MEM 10936.699219 1677250721.2859
CHLD 0 479.570312 1677250721.3014
CHLD 1 267.601562 1677250721.3014
CHLD 2 269.375000 1677250721.3014
CHLD 3 270.816406 1677250721.3015
CHLD 4 264.691406 1677250721.3015
CHLD 5 271.066406 1677250721.3015
CHLD 6 268.570312 1677250721.3015
CHLD 7 278.414062 1677250721.3015
CHLD 8 275.031250 1677250721.3015
CHLD 9 260.703125 1677250721.3016
CHLD 10 271.066406 1677250721.3016
CHLD 11 273.304688 1677250721.3016
CHLD 12 350.902344 1677250721.3016
CHLD 13 370.289062 1677250721.3016
CHLD 14 366.539062 1677250721.3016
CHLD 15 379.542969 1677250721.3016
CHLD 16 258.222656 1677250721.3017
CHLD 17 259.109375 1677250721.3017
CHLD 18 259.312500 1677250721.3017
CHLD 19 258.523438 1677250721.3017
CHLD 20 258.921875 1677250721.3017
CHLD 21 256.242188 1677250721.3017
CHLD 22 256.328125 1677250721.3017
CHLD 23 255.992188 1677250721.3018
CHLD 24 255.992188 1677250721.3018
CHLD 25 255.992188 1677250721.3018
CHLD 26 255.992188 1677250721.3018
CHLD 27 255.992188 1677250721.3018
CHLD 28 256.480469 1677250721.3018
CHLD 29 256.328125 1677250721.3019
CHLD 30 255.996094 1677250721.3019
CHLD 31 256.484375 1677250721.3019
CHLD 32 256.042969 1677250721.3019
CHLD 33 256.488281 1677250721.3019
CHLD 34 256.000000 1677250721.3019
CHLD 35 256.488281 1677250721.3019
CHLD 36 253.554688 1677250721.3020
CHLD 37 253.554688 1677250721.3020
CHLD 38 256.343750 1677250721.3020
CHLD 39 253.492188 1677250721.3020
MEM 13701.824219 1677250721.4199
CHLD 0 718.738281 1677250721.4619
CHLD 1 267.601562 1677250721.4619
CHLD 2 269.375000 1677250721.4619
CHLD 3 273.593750 1677250721.4620
CHLD 4 264.691406 1677250721.4620
CHLD 5 273.839844 1677250721.4620
CHLD 6 271.070312 1677250721.4620
CHLD 7 269.375000 1677250721.4620
CHLD 8 267.957031 1677250721.4620
