CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677252080.0014
MEM 9.535156 1677252080.1255
MEM 23.050781 1677252080.2502
MEM 29.472656 1677252080.3741
MEM 32.582031 1677252080.4976
MEM 38.859375 1677252080.6214
MEM 45.222656 1677252080.7450
MEM 50.722656 1677252080.8690
MEM 57.156250 1677252080.9930
MEM 58.546875 1677252081.1167
MEM 62.449219 1677252081.2409
MEM 65.554688 1677252081.3658
MEM 69.382812 1677252081.4908
MEM 72.707031 1677252081.6155
MEM 77.582031 1677252081.7375
MEM 79.707031 1677252081.8584
MEM 86.195312 1677252081.9819
MEM 88.273438 1677252082.1069
MEM 88.453125 1677252082.2286
MEM 91.914062 1677252082.3494
MEM 101.699219 1677252082.4727
MEM 106.597656 1677252082.5980
MEM 113.835938 1677252082.7225
MEM 117.707031 1677252082.8454
MEM 120.183594 1677252082.9672
MEM 124.960938 1677252083.0907
MEM 129.222656 1677252083.2149
MEM 132.761719 1677252083.3373
MEM 135.984375 1677252083.4592
MEM 137.257812 1677252083.5829
MEM 142.828125 1677252083.7099
MEM 143.113281 1677252083.8350
MEM 143.257812 1677252083.9586
MEM 143.484375 1677252084.0828
MEM 160.132812 1677252084.2074
MEM 164.210938 1677252084.3314
MEM 168.109375 1677252084.4551
MEM 173.832031 1677252084.5784
MEM 176.394531 1677252084.7017
MEM 187.253906 1677252084.8247
MEM 191.558594 1677252084.9478
MEM 193.636719 1677252085.0706
CHLD 0 0.035156 1677252085.0813
MEM 195.386719 1677252085.1935
MEM 201.691406 1677252085.3165
MEM 207.207031 1677252085.4396
MEM 222.351562 1677252085.5627
MEM 233.882812 1677252085.6859
MEM 496.007812 1677252085.8092
CHLD 0 247.457031 1677252085.8206
CHLD 1 250.179688 1677252085.8206
MEM 5009.003906 1677252085.9348
CHLD 0 247.457031 1677252085.9481
CHLD 1 252.796875 1677252085.9481
CHLD 2 252.339844 1677252085.9481
CHLD 3 252.339844 1677252085.9481
CHLD 4 251.632812 1677252085.9481
CHLD 5 252.082031 1677252085.9481
CHLD 6 251.839844 1677252085.9481
CHLD 7 251.847656 1677252085.9482
CHLD 8 251.832031 1677252085.9482
CHLD 9 251.589844 1677252085.9482
CHLD 10 251.082031 1677252085.9482
CHLD 11 250.761719 1677252085.9482
CHLD 12 250.675781 1677252085.9482
CHLD 13 250.570312 1677252085.9482
CHLD 14 250.312500 1677252085.9483
CHLD 15 250.058594 1677252085.9483
CHLD 16 249.648438 1677252085.9483
CHLD 17 249.652344 1677252085.9483
CHLD 18 249.652344 1677252085.9483
CHLD 19 249.644531 1677252085.9483
CHLD 20 250.132812 1677252085.9483
MEM 7274.097656 1677252086.0632
CHLD 0 247.472656 1677252086.0767
CHLD 1 252.796875 1677252086.0767
CHLD 2 252.339844 1677252086.0767
CHLD 3 252.339844 1677252086.0767
CHLD 4 251.632812 1677252086.0768
CHLD 5 252.093750 1677252086.0768
CHLD 6 252.167969 1677252086.0768
CHLD 7 251.855469 1677252086.0768
CHLD 8 251.750000 1677252086.0768
CHLD 9 251.750000 1677252086.0768
CHLD 10 251.277344 1677252086.0768
CHLD 11 251.203125 1677252086.0769
CHLD 12 251.097656 1677252086.0769
CHLD 13 251.046875 1677252086.0769
CHLD 14 251.320312 1677252086.0769
CHLD 15 251.843750 1677252086.0769
CHLD 16 251.343750 1677252086.0769
CHLD 17 250.828125 1677252086.0770
CHLD 18 250.925781 1677252086.0770
CHLD 19 250.566406 1677252086.0770
CHLD 20 250.574219 1677252086.0770
CHLD 21 250.562500 1677252086.0770
CHLD 22 250.316406 1677252086.0770
CHLD 23 250.312500 1677252086.0770
CHLD 24 250.316406 1677252086.0771
CHLD 25 249.917969 1677252086.0771
CHLD 26 249.917969 1677252086.0771
CHLD 27 250.000000 1677252086.0771
CHLD 28 250.406250 1677252086.0771
MEM 8820.867188 1677252086.1941
CHLD 0 247.492188 1677252086.2095
CHLD 1 252.796875 1677252086.2096
CHLD 2 263.820312 1677252086.2096
CHLD 3 252.339844 1677252086.2096
CHLD 4 263.125000 1677252086.2096
CHLD 5 255.394531 1677252086.2097
CHLD 6 254.179688 1677252086.2097
CHLD 7 261.519531 1677252086.2097
CHLD 8 255.222656 1677252086.2097
CHLD 9 262.062500 1677252086.2098
CHLD 10 261.800781 1677252086.2098
CHLD 11 252.988281 1677252086.2098
CHLD 12 251.746094 1677252086.2098
CHLD 13 252.820312 1677252086.2098
CHLD 14 251.667969 1677252086.2098
CHLD 15 252.468750 1677252086.2099
CHLD 16 251.683594 1677252086.2099
CHLD 17 251.656250 1677252086.2099
CHLD 18 251.683594 1677252086.2099
CHLD 19 251.546875 1677252086.2099
CHLD 20 251.343750 1677252086.2099
CHLD 21 251.355469 1677252086.2100
CHLD 22 251.097656 1677252086.2100
CHLD 23 250.667969 1677252086.2100
CHLD 24 250.503906 1677252086.2100
CHLD 25 248.453125 1677252086.2100
CHLD 26 0.000000 1677252086.2100
CHLD 27 0.000000 1677252086.2100
CHLD 28 0.000000 1677252086.2101
CHLD 29 0.000000 1677252086.2101
CHLD 30 0.000000 1677252086.2101
CHLD 31 249.941406 1677252086.2101
CHLD 32 249.941406 1677252086.2101
CHLD 33 250.000000 1677252086.2101
CHLD 34 249.941406 1677252086.2102
CHLD 35 249.941406 1677252086.2102
CHLD 36 250.429688 1677252086.2102
CHLD 37 261.570312 1677252086.2102
MEM 14071.878906 1677252086.3301
CHLD 0 247.515625 1677252086.3466
CHLD 1 262.718750 1677252086.3466
CHLD 2 260.917969 1677252086.3467
CHLD 3 273.820312 1677252086.3467
CHLD 4 256.683594 1677252086.3467
CHLD 5 259.039062 1677252086.3467
CHLD 6 256.933594 1677252086.3467
CHLD 7 262.832031 1677252086.3467
CHLD 8 256.437500 1677252086.3468
CHLD 9 262.140625 1677252086.3468
CHLD 10 261.800781 1677252086.3468
CHLD 11 252.988281 1677252086.3468
CHLD 12 251.746094 1677252086.3468
CHLD 13 252.820312 1677252086.3468
CHLD 14 251.667969 1677252086.3468
CHLD 15 252.468750 1677252086.3469
CHLD 16 260.042969 1677252086.3469
CHLD 17 262.757812 1677252086.3469
CHLD 18 262.781250 1677252086.3469
CHLD 19 262.062500 1677252086.3469
CHLD 20 253.074219 1677252086.3469
CHLD 21 252.722656 1677252086.3470
CHLD 22 253.484375 1677252086.3470
CHLD 23 252.660156 1677252086.3470
CHLD 24 252.152344 1677252086.3470
CHLD 25 250.871094 1677252086.3470
CHLD 26 250.101562 1677252086.3470
CHLD 27 250.359375 1677252086.3471
CHLD 28 250.871094 1677252086.3471
CHLD 29 250.609375 1677252086.3471
CHLD 30 250.101562 1677252086.3471
CHLD 31 249.945312 1677252086.3471
CHLD 32 250.000000 1677252086.3471
CHLD 33 250.437500 1677252086.3471
CHLD 34 249.949219 1677252086.3472
CHLD 35 249.550781 1677252086.3472
CHLD 36 247.433594 1677252086.3472
CHLD 37 247.433594 1677252086.3472
CHLD 38 357.738281 1677252086.3472
CHLD 39 261.777344 1677252086.3472
CHLD 40 340.390625 1677252086.3473
CHLD 41 262.113281 1677252086.3473
CHLD 42 337.839844 1677252086.3473
CHLD 43 317.691406 1677252086.3473
CHLD 44 256.203125 1677252086.3473
CHLD 45 256.152344 1677252086.3473
CHLD 46 256.125000 1677252086.3473
CHLD 47 262.601562 1677252086.3474
CHLD 48 262.617188 1677252086.3474
CHLD 49 284.671875 1677252086.3474
CHLD 50 262.550781 1677252086.3474
CHLD 51 262.523438 1677252086.3474
CHLD 52 262.523438 1677252086.3474
CHLD 53 256.707031 1677252086.3475
CHLD 54 256.449219 1677252086.3475
CHLD 55 256.371094 1677252086.3475
CHLD 56 256.371094 1677252086.3475
CHLD 57 260.687500 1677252086.3475
MEM 17792.367188 1677252086.4757
CHLD 0 247.582031 1677252086.4962
CHLD 1 262.792969 1677252086.4962
CHLD 2 260.917969 1677252086.4962
CHLD 3 262.828125 1677252086.4962
CHLD 4 256.683594 1677252086.4963
CHLD 5 259.082031 1677252086.4963
CHLD 6 256.933594 1677252086.4963
CHLD 7 262.832031 1677252086.4963
CHLD 8 256.437500 1677252086.4963
CHLD 9 262.140625 1677252086.4963
CHLD 10 311.972656 1677252086.4963
CHLD 11 269.589844 1677252086.4964
CHLD 12 268.746094 1677252086.4964
CHLD 13 252.847656 1677252086.4964
CHLD 14 264.753906 1677252086.4964
CHLD 15 267.292969 1677252086.4964
CHLD 16 256.609375 1677252086.4964
CHLD 17 262.757812 1677252086.4965
CHLD 18 256.609375 1677252086.4965
CHLD 19 262.062500 1677252086.4965
CHLD 20 253.074219 1677252086.4965
CHLD 21 252.722656 1677252086.4965
CHLD 22 252.996094 1677252086.4965
CHLD 23 252.019531 1677252086.4966
CHLD 24 252.406250 1677252086.4966
CHLD 25 252.152344 1677252086.4966
CHLD 26 252.011719 1677252086.4966
CHLD 27 252.195312 1677252086.4966
CHLD 28 252.199219 1677252086.4966
CHLD 29 252.046875 1677252086.4966
CHLD 30 252.050781 1677252086.4967
CHLD 31 251.910156 1677252086.4967
CHLD 32 251.550781 1677252086.4967
CHLD 33 251.652344 1677252086.4967
CHLD 34 250.960938 1677252086.4967
CHLD 35 250.687500 1677252086.4967
CHLD 36 250.675781 1677252086.4968
CHLD 37 250.660156 1677252086.4968
CHLD 38 250.652344 1677252086.4968
CHLD 39 374.195312 1677252086.4968
CHLD 40 470.945312 1677252086.4968
CHLD 41 262.113281 1677252086.4968
CHLD 42 262.113281 1677252086.4968
CHLD 43 344.382812 1677252086.4969
CHLD 44 312.667969 1677252086.4969
CHLD 45 353.523438 1677252086.4969
CHLD 46 312.667969 1677252086.4969
CHLD 47 312.667969 1677252086.4969
CHLD 48 377.988281 1677252086.4970
CHLD 49 262.617188 1677252086.4970
CHLD 50 290.933594 1677252086.4970
CHLD 51 347.191406 1677252086.4970
CHLD 52 319.066406 1677252086.4970
CHLD 53 397.972656 1677252086.4970
CHLD 54 347.191406 1677252086.4970
CHLD 55 256.707031 1677252086.4971
CHLD 56 256.722656 1677252086.4971
CHLD 57 258.847656 1677252086.4971
CHLD 58 361.707031 1677252086.4971
CHLD 59 256.476562 1677252086.4971
CHLD 60 256.656250 1677252086.4971
CHLD 61 312.914062 1677252086.4972
CHLD 62 260.687500 1677252086.4972
CHLD 63 262.558594 1677252086.4972
MEM 20731.933594 1677252086.6197
CHLD 0 279.585938 1677252086.6375
CHLD 1 262.792969 1677252086.6376
CHLD 2 260.921875 1677252086.6376
CHLD 3 262.902344 1677252086.6376
CHLD 4 256.683594 1677252086.6376
CHLD 5 259.082031 1677252086.6376
CHLD 6 256.933594 1677252086.6376
CHLD 7 262.832031 1677252086.6377
CHLD 8 256.437500 1677252086.6377
CHLD 9 262.140625 1677252086.6377
CHLD 10 375.847656 1677252086.6377
CHLD 11 263.363281 1677252086.6377
CHLD 12 261.394531 1677252086.6377
CHLD 13 274.246094 1677252086.6377
CHLD 14 264.824219 1677252086.6378
CHLD 15 259.332031 1677252086.6378
CHLD 16 256.609375 1677252086.6378
CHLD 17 262.832031 1677252086.6378
CHLD 18 256.683594 1677252086.6378
CHLD 19 262.136719 1677252086.6378
CHLD 20 253.074219 1677252086.6379
CHLD 21 257.316406 1677252086.6379
CHLD 22 252.996094 1677252086.6379
CHLD 23 252.019531 1677252086.6379
CHLD 24 252.406250 1677252086.6379
CHLD 25 252.152344 1677252086.6379
CHLD 26 252.011719 1677252086.6380
CHLD 27 252.195312 1677252086.6380
CHLD 28 254.128906 1677252086.6380
CHLD 29 261.980469 1677252086.6380
CHLD 30 258.941406 1677252086.6380
CHLD 31 259.667969 1677252086.6380
CHLD 32 257.730469 1677252086.6380
CHLD 33 255.687500 1677252086.6381
CHLD 34 252.968750 1677252086.6381
CHLD 35 251.585938 1677252086.6381
CHLD 36 250.351562 1677252086.6381
CHLD 37 250.265625 1677252086.6381
CHLD 38 250.335938 1677252086.6381
CHLD 39 250.109375 1677252086.6382
CHLD 40 250.445312 1677252086.6382
CHLD 41 250.250000 1677252086.6382
CHLD 42 250.265625 1677252086.6382
CHLD 43 261.906250 1677252086.6382
CHLD 44 337.820312 1677252086.6382
CHLD 45 256.449219 1677252086.6383
CHLD 46 262.601562 1677252086.6383
CHLD 47 264.597656 1677252086.6383
CHLD 48 263.140625 1677252086.6383
CHLD 49 317.937500 1677252086.6383
CHLD 50 547.773438 1677252086.6383
CHLD 51 560.265625 1677252086.6383
CHLD 52 312.667969 1677252086.6384
CHLD 53 256.410156 1677252086.6384
CHLD 54 256.410156 1677252086.6384
CHLD 55 256.410156 1677252086.6384
CHLD 56 575.171875 1677252086.6384
CHLD 57 262.617188 1677252086.6384
CHLD 58 290.933594 1677252086.6385
CHLD 59 290.933594 1677252086.6385
CHLD 60 262.808594 1677252086.6385
CHLD 61 262.808594 1677252086.6385
CHLD 62 290.933594 1677252086.6385
CHLD 63 256.707031 1677252086.6385
CHLD 64 256.722656 1677252086.6385
CHLD 65 258.847656 1677252086.6386
CHLD 66 258.863281 1677252086.6386
CHLD 67 369.046875 1677252086.6386
CHLD 68 256.476562 1677252086.6386
CHLD 69 0.000000 1677252086.6386
CHLD 70 0.000000 1677252086.6386
CHLD 71 327.910156 1677252086.6386
CHLD 72 262.667969 1677252086.6387
CHLD 73 260.687500 1677252086.6387
CHLD 74 260.703125 1677252086.6387
CHLD 75 295.570312 1677252086.6387
CHLD 76 347.148438 1677252086.6387
CHLD 77 301.339844 1677252086.6387
MEM 26041.449219 1677252086.7588
CHLD 0 303.945312 1677252086.7771
CHLD 1 262.792969 1677252086.7772
CHLD 2 260.921875 1677252086.7772
CHLD 3 262.902344 1677252086.7772
CHLD 4 256.683594 1677252086.7772
CHLD 5 259.082031 1677252086.7772
CHLD 6 256.933594 1677252086.7773
CHLD 7 262.832031 1677252086.7773
CHLD 8 256.437500 1677252086.7773
CHLD 9 316.140625 1677252086.7773
CHLD 10 263.406250 1677252086.7773
CHLD 11 261.468750 1677252086.7773
CHLD 12 263.078125 1677252086.7773
CHLD 13 264.828125 1677252086.7774
CHLD 14 259.332031 1677252086.7774
CHLD 15 256.683594 1677252086.7774
CHLD 16 262.832031 1677252086.7774
CHLD 17 256.683594 1677252086.7774
CHLD 18 262.136719 1677252086.7774
CHLD 19 273.046875 1677252086.7775
CHLD 20 261.210938 1677252086.7775
CHLD 21 268.453125 1677252086.7775
CHLD 22 264.753906 1677252086.7775
CHLD 23 266.230469 1677252086.7775
CHLD 24 256.859375 1677252086.7775
CHLD 25 262.910156 1677252086.7775
CHLD 26 264.753906 1677252086.7776
CHLD 27 262.218750 1677252086.7776
CHLD 28 261.980469 1677252086.7776
CHLD 29 259.015625 1677252086.7776
CHLD 30 257.703125 1677252086.7776
CHLD 31 257.804688 1677252086.7776
CHLD 32 254.781250 1677252086.7777
CHLD 33 252.968750 1677252086.7777
CHLD 34 251.660156 1677252086.7777
CHLD 35 250.351562 1677252086.7777
CHLD 36 250.343750 1677252086.7777
CHLD 37 250.335938 1677252086.7777
CHLD 38 252.296875 1677252086.7778
CHLD 39 251.816406 1677252086.7778
CHLD 40 249.957031 1677252086.7778
CHLD 41 250.250000 1677252086.7778
CHLD 42 250.218750 1677252086.7778
CHLD 43 250.257812 1677252086.7778
CHLD 44 250.265625 1677252086.7778
CHLD 45 250.296875 1677252086.7779
CHLD 46 251.429688 1677252086.7779
CHLD 47 254.566406 1677252086.7779
CHLD 48 257.574219 1677252086.7779
CHLD 49 258.804688 1677252086.7779
CHLD 50 318.230469 1677252086.7780
CHLD 51 0.000000 1677252086.7780
CHLD 52 291.691406 1677252086.7780
CHLD 53 291.679688 1677252086.7780
CHLD 54 256.449219 1677252086.7780
CHLD 55 262.601562 1677252086.7780
CHLD 56 256.449219 1677252086.7780
CHLD 57 259.097656 1677252086.7781
CHLD 58 264.597656 1677252086.7781
CHLD 59 261.242188 1677252086.7781
CHLD 60 263.171875 1677252086.7781
CHLD 61 372.621094 1677252086.7781
CHLD 62 600.820312 1677252086.7781
CHLD 63 481.371094 1677252086.7781
CHLD 64 0.000000 1677252086.7782
CHLD 65 0.000000 1677252086.7782
CHLD 66 0.000000 1677252086.7782
CHLD 67 0.000000 1677252086.7782
CHLD 68 544.039062 1677252086.7782
CHLD 69 265.226562 1677252086.7782
CHLD 70 0.000000 1677252086.7783
CHLD 71 0.000000 1677252086.7783
CHLD 72 0.000000 1677252086.7783
CHLD 73 0.000000 1677252086.7783
CHLD 74 0.000000 1677252086.7783
CHLD 75 256.707031 1677252086.7783
CHLD 76 256.722656 1677252086.7783
CHLD 77 366.023438 1677252086.7784
CHLD 78 258.847656 1677252086.7784
CHLD 79 258.863281 1677252086.7784
CHLD 80 386.078125 1677252086.7784
CHLD 81 425.300781 1677252086.7784
CHLD 82 256.476562 1677252086.7784
CHLD 83 0.000000 1677252086.7784
CHLD 84 287.757812 1677252086.7785
CHLD 85 262.667969 1677252086.7785
CHLD 86 262.683594 1677252086.7785
CHLD 87 368.046875 1677252086.7785
CHLD 88 260.687500 1677252086.7785
CHLD 89 260.703125 1677252086.7785
CHLD 90 375.136719 1677252086.7785
CHLD 91 0.000000 1677252086.7786
CHLD 92 385.945312 1677252086.7786
