CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677257042.4605
MEM 27.074219 1677257042.5863
MEM 41.109375 1677257042.7119
MEM 54.906250 1677257042.8367
MEM 66.519531 1677257042.9615
MEM 77.039062 1677257043.0859
MEM 86.351562 1677257043.2112
MEM 93.871094 1677257043.3369
MEM 95.769531 1677257043.4626
MEM 96.449219 1677257043.5876
MEM 102.722656 1677257043.7130
MEM 107.464844 1677257043.8379
MEM 114.628906 1677257043.9643
MEM 118.136719 1677257044.0902
MEM 123.488281 1677257044.2155
MEM 127.140625 1677257044.3402
MEM 131.066406 1677257044.4646
MEM 133.957031 1677257044.5895
MEM 139.617188 1677257044.7150
MEM 142.769531 1677257044.8404
MEM 144.566406 1677257044.9654
MEM 149.261719 1677257045.0900
MEM 150.863281 1677257045.2149
MEM 150.984375 1677257045.3390
MEM 151.171875 1677257045.4636
MEM 151.347656 1677257045.5879
MEM 156.730469 1677257045.7125
MEM 170.144531 1677257045.8364
MEM 173.371094 1677257045.9617
MEM 177.156250 1677257046.0863
MEM 181.871094 1677257046.2108
MEM 183.156250 1677257046.3352
MEM 188.832031 1677257046.4594
MEM 196.324219 1677257046.5840
MEM 202.667969 1677257046.7086
MEM 200.632812 1677257046.8332
MEM 207.066406 1677257046.9579
MEM 219.519531 1677257047.0825
MEM 238.195312 1677257047.2072
MEM 253.121094 1677257047.3323
CHLD 0 254.316406 1677257047.3443
MEM 3083.906250 1677257047.4578
CHLD 0 254.316406 1677257047.4705
CHLD 1 259.597656 1677257047.4706
CHLD 2 259.226562 1677257047.4706
CHLD 3 258.667969 1677257047.4706
CHLD 4 258.164062 1677257047.4706
CHLD 5 257.125000 1677257047.4706
CHLD 6 256.496094 1677257047.4706
CHLD 7 256.750000 1677257047.4707
CHLD 8 256.750000 1677257047.4707
CHLD 9 256.503906 1677257047.4707
CHLD 10 256.507812 1677257047.4707
CHLD 11 257.058594 1677257047.4707
MEM 5672.546875 1677257047.5853
CHLD 0 254.316406 1677257047.5993
CHLD 1 259.605469 1677257047.5993
CHLD 2 259.226562 1677257047.5993
CHLD 3 259.132812 1677257047.5994
CHLD 4 258.582031 1677257047.5994
CHLD 5 259.062500 1677257047.5994
CHLD 6 258.871094 1677257047.5994
CHLD 7 258.808594 1677257047.5994
CHLD 8 258.949219 1677257047.5994
CHLD 9 258.703125 1677257047.5994
CHLD 10 258.246094 1677257047.5995
CHLD 11 258.156250 1677257047.5995
CHLD 12 258.050781 1677257047.5995
CHLD 13 257.933594 1677257047.5995
CHLD 14 257.339844 1677257047.5995
CHLD 15 257.312500 1677257047.5995
CHLD 16 257.218750 1677257047.5995
CHLD 17 257.261719 1677257047.5996
CHLD 18 257.136719 1677257047.5996
CHLD 19 256.644531 1677257047.5996
CHLD 20 256.519531 1677257047.5996
CHLD 21 257.007812 1677257047.5996
MEM 5937.851562 1677257047.7148
CHLD 0 254.332031 1677257047.7291
