CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.035156 1677257268.9534
MEM 21.253906 1677257269.0785
MEM 38.605469 1677257269.2026
MEM 51.781250 1677257269.3255
MEM 67.113281 1677257269.4492
MEM 78.640625 1677257269.5727
MEM 87.800781 1677257269.6959
MEM 93.507812 1677257269.8193
MEM 105.886719 1677257269.9430
MEM 109.460938 1677257270.0664
MEM 118.425781 1677257270.1897
MEM 123.820312 1677257270.3133
MEM 129.289062 1677257270.4371
MEM 132.828125 1677257270.5604
MEM 136.046875 1677257270.6838
MEM 137.578125 1677257270.8069
MEM 164.281250 1677257270.9307
MEM 173.671875 1677257271.0553
MEM 174.144531 1677257271.1790
MEM 185.492188 1677257271.3031
MEM 192.406250 1677257271.4273
MEM 224.109375 1677257271.5516
MEM 498.898438 1677257271.6761
CHLD 0 248.890625 1677257271.6877
CHLD 1 251.074219 1677257271.6878
CHLD 2 251.585938 1677257271.6878
MEM 4785.851562 1677257271.8020
CHLD 0 248.894531 1677257271.8159
CHLD 1 254.183594 1677257271.8159
CHLD 2 253.808594 1677257271.8159
CHLD 3 253.710938 1677257271.8159
CHLD 4 252.914062 1677257271.8159
CHLD 5 253.511719 1677257271.8160
CHLD 6 253.265625 1677257271.8160
CHLD 7 253.269531 1677257271.8160
CHLD 8 253.269531 1677257271.8160
CHLD 9 253.011719 1677257271.8160
CHLD 10 252.246094 1677257271.8160
CHLD 11 252.246094 1677257271.8161
CHLD 12 251.738281 1677257271.8161
CHLD 13 251.480469 1677257271.8161
CHLD 14 251.152344 1677257271.8161
CHLD 15 251.085938 1677257271.8161
CHLD 16 251.085938 1677257271.8161
CHLD 17 251.089844 1677257271.8161
CHLD 18 251.328125 1677257271.8162
CHLD 19 251.542969 1677257271.8162
MEM 7312.437500 1677257271.9315
CHLD 0 248.921875 1677257271.9458
CHLD 1 254.183594 1677257271.9459
CHLD 2 253.808594 1677257271.9459
CHLD 3 253.710938 1677257271.9459
CHLD 4 252.914062 1677257271.9459
CHLD 5 253.378906 1677257271.9459
CHLD 6 253.453125 1677257271.9460
