CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677509358.0365
MEM 27.117188 1677509358.1659
MEM 45.562500 1677509358.2980
MEM 58.328125 1677509358.4260
MEM 75.769531 1677509358.5531
MEM 84.835938 1677509358.6818
MEM 91.808594 1677509358.8110
MEM 103.500000 1677509358.9389
MEM 110.664062 1677509359.0684
MEM 118.640625 1677509359.1969
MEM 123.687500 1677509359.3245
MEM 131.835938 1677509359.4532
MEM 135.703125 1677509359.5814
MEM 139.843750 1677509359.7078
MEM 141.132812 1677509359.8355
MEM 158.492188 1677509359.9641
MEM 177.019531 1677509360.0924
MEM 178.359375 1677509360.2196
MEM 181.664062 1677509360.3476
MEM 193.843750 1677509360.4755
MEM 196.500000 1677509360.6035
MEM 215.132812 1677509360.7308
MEM 241.378906 1677509360.8553
MEM 505.878906 1677509360.9797
CHLD 0 249.953125 1677509360.9919
CHLD 1 257.718750 1677509360.9919
MEM 2299.027344 1677509361.1067
CHLD 0 249.953125 1677509361.1201
CHLD 1 257.449219 1677509361.1201
CHLD 2 258.863281 1677509361.1201
CHLD 3 254.316406 1677509361.1201
CHLD 4 257.421875 1677509361.1202
CHLD 5 258.664062 1677509361.1202
CHLD 6 258.667969 1677509361.1202
CHLD 7 251.289062 1677509361.1202
MEM 3586.808594 1677509361.2378
CHLD 0 249.953125 1677509361.2523
CHLD 1 257.449219 1677509361.2523
CHLD 2 258.863281 1677509361.2524
CHLD 3 254.667969 1677509361.2524
CHLD 4 257.531250 1677509361.2524
CHLD 5 259.113281 1677509361.2524
CHLD 6 259.113281 1677509361.2524
CHLD 7 252.550781 1677509361.2524
CHLD 8 256.269531 1677509361.2524
CHLD 9 256.269531 1677509361.2525
CHLD 10 256.261719 1677509361.2525
CHLD 11 257.542969 1677509361.2525
CHLD 12 258.980469 1677509361.2525
CHLD 13 253.351562 1677509361.2525
MEM 5406.273438 1677509361.3692
CHLD 0 249.953125 1677509361.3848
CHLD 1 262.796875 1677509361.3848
CHLD 2 271.988281 1677509361.3848
CHLD 3 254.667969 1677509361.3849
CHLD 4 264.621094 1677509361.3849
CHLD 5 259.113281 1677509361.3849
CHLD 6 259.113281 1677509361.3849
CHLD 7 252.550781 1677509361.3849
CHLD 8 256.269531 1677509361.3849
