CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677509669.9333
MEM 23.269531 1677509670.0618
MEM 42.804688 1677509670.1894
MEM 55.574219 1677509670.3168
MEM 70.894531 1677509670.4442
MEM 81.023438 1677509670.5710
MEM 89.835938 1677509670.6965
MEM 101.503906 1677509670.8227
MEM 108.667969 1677509670.9499
MEM 115.914062 1677509671.0764
MEM 121.355469 1677509671.2027
MEM 127.757812 1677509671.3300
MEM 133.152344 1677509671.4579
MEM 136.550781 1677509671.5845
MEM 138.863281 1677509671.7104
MEM 144.910156 1677509671.8366
MEM 171.460938 1677509671.9638
MEM 175.906250 1677509672.0896
MEM 179.234375 1677509672.2169
MEM 191.367188 1677509672.3446
MEM 196.109375 1677509672.4721
CHLD 0 0.191406 1677509672.4841
MEM 201.218750 1677509672.5980
MEM 211.851562 1677509672.7220
MEM 226.988281 1677509672.8472
MEM 241.394531 1677509672.9726
MEM 1537.601562 1677509673.1006
CHLD 0 249.765625 1677509673.1149
CHLD 1 258.042969 1677509673.1149
CHLD 2 259.652344 1677509673.1149
CHLD 3 253.992188 1677509673.1149
CHLD 4 257.910156 1677509673.1149
CHLD 5 259.492188 1677509673.1149
MEM 3344.886719 1677509673.2307
CHLD 0 249.765625 1677509673.2462
CHLD 1 258.285156 1677509673.2462
CHLD 2 259.718750 1677509673.2462
CHLD 3 255.503906 1677509673.2463
CHLD 4 258.367188 1677509673.2463
CHLD 5 259.957031 1677509673.2463
CHLD 6 259.949219 1677509673.2463
CHLD 7 255.324219 1677509673.2463
CHLD 8 257.222656 1677509673.2463
CHLD 9 257.164062 1677509673.2463
CHLD 10 256.867188 1677509673.2464
CHLD 11 258.296875 1677509673.2464
CHLD 12 260.558594 1677509673.2464
MEM 4887.625000 1677509673.3629
CHLD 0 249.765625 1677509673.3783
CHLD 1 258.285156 1677509673.3784
CHLD 2 263.203125 1677509673.3784
CHLD 3 255.503906 1677509673.3784
CHLD 4 258.367188 1677509673.3784
CHLD 5 259.957031 1677509673.3784
CHLD 6 259.949219 1677509673.3784
CHLD 7 255.324219 1677509673.3785
CHLD 8 257.105469 1677509673.3785
CHLD 9 257.105469 1677509673.3785
CHLD 10 257.097656 1677509673.3785
CHLD 11 258.761719 1677509673.3785
CHLD 12 260.710938 1677509673.3785
CHLD 13 255.238281 1677509673.3785
CHLD 14 258.406250 1677509673.3786
CHLD 15 259.875000 1677509673.3786
CHLD 16 259.808594 1677509673.3786
CHLD 17 252.234375 1677509673.3786
CHLD 18 256.773438 1677509673.3786
MEM 6383.812500 1677509673.4960
CHLD 0 249.816406 1677509673.5124
CHLD 1 268.074219 1677509673.5124
CHLD 2 266.855469 1677509673.5124
CHLD 3 272.492188 1677509673.5124
CHLD 4 269.015625 1677509673.5124
CHLD 5 270.785156 1677509673.5125
CHLD 6 269.503906 1677509673.5125
CHLD 7 268.929688 1677509673.5125
CHLD 8 269.082031 1677509673.5125
CHLD 9 321.296875 1677509673.5125
CHLD 10 375.234375 1677509673.5125
CHLD 11 258.761719 1677509673.5125
CHLD 12 260.281250 1677509673.5126
CHLD 13 255.988281 1677509673.5126
CHLD 14 258.375000 1677509673.5126
CHLD 15 259.957031 1677509673.5126
CHLD 16 259.957031 1677509673.5126
CHLD 17 253.492188 1677509673.5126
CHLD 18 257.171875 1677509673.5127
CHLD 19 257.136719 1677509673.5127
CHLD 20 258.484375 1677509673.5127
CHLD 21 259.824219 1677509673.5127
CHLD 22 254.187500 1677509673.5127
CHLD 23 258.191406 1677509673.5127
MEM 8101.621094 1677509673.6308
CHLD 0 577.242188 1677509673.6480
CHLD 1 268.281250 1677509673.6481
CHLD 2 266.855469 1677509673.6481
CHLD 3 268.074219 1677509673.6481
CHLD 4 269.015625 1677509673.6481
CHLD 5 263.433594 1677509673.6482
CHLD 6 269.167969 1677509673.6482
CHLD 7 268.929688 1677509673.6482
CHLD 8 269.292969 1677509673.6482
CHLD 9 266.363281 1677509673.6482
CHLD 10 258.761719 1677509673.6482
CHLD 11 260.281250 1677509673.6483
CHLD 12 255.988281 1677509673.6483
CHLD 13 259.296875 1677509673.6483
CHLD 14 259.957031 1677509673.6483
CHLD 15 262.207031 1677509673.6483
CHLD 16 267.347656 1677509673.6483
CHLD 17 257.214844 1677509673.6483
CHLD 18 260.882812 1677509673.6484
CHLD 19 258.750000 1677509673.6484
CHLD 20 260.257812 1677509673.6484
CHLD 21 256.437500 1677509673.6484
CHLD 22 259.101562 1677509673.6484
CHLD 23 260.121094 1677509673.6484
CHLD 24 259.656250 1677509673.6485
CHLD 25 252.250000 1677509673.6485
CHLD 26 256.785156 1677509673.6485
CHLD 27 256.777344 1677509673.6485
CHLD 28 254.531250 1677509673.6485
