CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677509699.3071
MEM 30.300781 1677509699.4351
MEM 48.671875 1677509699.5642
MEM 63.460938 1677509699.6913
MEM 79.750000 1677509699.8180
MEM 89.457031 1677509699.9443
MEM 93.824219 1677509700.0707
MEM 107.757812 1677509700.1977
MEM 113.429688 1677509700.3241
MEM 123.207031 1677509700.4505
MEM 129.460938 1677509700.5772
MEM 135.375000 1677509700.7047
MEM 139.515625 1677509700.8306
MEM 142.347656 1677509700.9565
MEM 147.042969 1677509701.0822
MEM 175.195312 1677509701.2090
MEM 179.785156 1677509701.3352
MEM 181.976562 1677509701.4624
MEM 193.468750 1677509701.5897
MEM 201.195312 1677509701.7173
CHLD 0 1.933594 1677509701.7309
MEM 230.765625 1677509701.8458
MEM 251.375000 1677509701.9713
CHLD 0 252.515625 1677509701.9845
MEM 1811.835938 1677509702.0998
CHLD 0 252.519531 1677509702.1141
CHLD 1 260.250000 1677509702.1141
CHLD 2 261.675781 1677509702.1141
CHLD 3 256.003906 1677509702.1142
CHLD 4 259.929688 1677509702.1142
CHLD 5 261.468750 1677509702.1142
CHLD 6 261.722656 1677509702.1142
MEM 3632.054688 1677509702.2296
CHLD 0 252.519531 1677509702.2441
CHLD 1 260.257812 1677509702.2442
CHLD 2 261.671875 1677509702.2442
CHLD 3 257.476562 1677509702.2442
CHLD 4 260.339844 1677509702.2442
CHLD 5 261.675781 1677509702.2442
CHLD 6 261.921875 1677509702.2443
CHLD 7 255.363281 1677509702.2443
CHLD 8 259.078125 1677509702.2443
CHLD 9 259.199219 1677509702.2443
CHLD 10 259.101562 1677509702.2443
CHLD 11 260.265625 1677509702.2443
CHLD 12 261.781250 1677509702.2443
MEM 5187.031250 1677509702.3607
CHLD 0 252.519531 1677509702.3764
CHLD 1 260.257812 1677509702.3764
CHLD 2 271.074219 1677509702.3764
CHLD 3 257.476562 1677509702.3764
CHLD 4 262.160156 1677509702.3764
CHLD 5 261.675781 1677509702.3764
CHLD 6 261.921875 1677509702.3765
CHLD 7 255.363281 1677509702.3765
CHLD 8 259.078125 1677509702.3765
CHLD 9 259.078125 1677509702.3765
CHLD 10 259.070312 1677509702.3765
CHLD 11 260.722656 1677509702.3765
CHLD 12 262.238281 1677509702.3766
CHLD 13 257.468750 1677509702.3766
CHLD 14 260.515625 1677509702.3766
CHLD 15 261.921875 1677509702.3766
CHLD 16 261.652344 1677509702.3766
CHLD 17 254.222656 1677509702.3766
CHLD 18 258.824219 1677509702.3766
CHLD 19 258.816406 1677509702.3767
MEM 6749.878906 1677509702.4939
CHLD 0 252.582031 1677509702.5113
CHLD 1 270.824219 1677509702.5113
CHLD 2 269.605469 1677509702.5113
CHLD 3 274.515625 1677509702.5113
CHLD 4 271.761719 1677509702.5114
CHLD 5 273.285156 1677509702.5114
CHLD 6 271.488281 1677509702.5114
CHLD 7 269.789062 1677509702.5114
CHLD 8 293.320312 1677509702.5114
CHLD 9 360.808594 1677509702.5114
CHLD 10 404.835938 1677509702.5115
CHLD 11 260.722656 1677509702.5115
CHLD 12 262.238281 1677509702.5115
CHLD 13 257.960938 1677509702.5115
CHLD 14 260.347656 1677509702.5115
CHLD 15 261.929688 1677509702.5115
CHLD 16 261.929688 1677509702.5115
CHLD 17 255.457031 1677509702.5116
CHLD 18 259.226562 1677509702.5116
CHLD 19 259.187500 1677509702.5116
CHLD 20 260.742188 1677509702.5116
CHLD 21 261.945312 1677509702.5116
CHLD 22 256.164062 1677509702.5116
CHLD 23 260.164062 1677509702.5117
CHLD 24 261.746094 1677509702.5117
MEM 8743.664062 1677509702.6289
CHLD 0 603.117188 1677509702.6448
CHLD 1 271.031250 1677509702.6448
CHLD 2 269.605469 1677509702.6448
CHLD 3 270.824219 1677509702.6448
CHLD 4 271.761719 1677509702.6449
CHLD 5 265.937500 1677509702.6449
CHLD 6 271.917969 1677509702.6449
CHLD 7 269.789062 1677509702.6449
CHLD 8 300.167969 1677509702.6449
CHLD 9 269.113281 1677509702.6449
CHLD 10 267.019531 1677509702.6449
CHLD 11 264.460938 1677509702.6450
CHLD 12 262.238281 1677509702.6450
CHLD 13 257.960938 1677509702.6450
CHLD 14 266.675781 1677509702.6450
CHLD 15 261.929688 1677509702.6450
CHLD 16 261.988281 1677509702.6450
CHLD 17 269.355469 1677509702.6451
CHLD 18 260.765625 1677509702.6451
CHLD 19 265.085938 1677509702.6451
CHLD 20 260.722656 1677509702.6451
CHLD 21 262.230469 1677509702.6451
CHLD 22 257.953125 1677509702.6451
CHLD 23 260.589844 1677509702.6451
CHLD 24 262.343750 1677509702.6452
CHLD 25 262.042969 1677509702.6452
CHLD 26 254.347656 1677509702.6452
CHLD 27 256.574219 1677509702.6452
CHLD 28 256.574219 1677509702.6452
CHLD 29 256.585938 1677509702.6452
CHLD 30 256.585938 1677509702.6452
CHLD 31 256.585938 1677509702.6453
MEM 10085.964844 1677509702.7640
CHLD 0 477.855469 1677509702.7817
CHLD 1 269.605469 1677509702.7817
CHLD 2 270.824219 1677509702.7817
CHLD 3 271.761719 1677509702.7817
CHLD 4 265.937500 1677509702.7817
CHLD 5 271.917969 1677509702.7818
CHLD 6 269.789062 1677509702.7818
CHLD 7 286.617188 1677509702.7818
CHLD 8 276.828125 1677509702.7818
CHLD 9 265.847656 1677509702.7818
CHLD 10 263.757812 1677509702.7818
CHLD 11 273.644531 1677509702.7819
CHLD 12 331.476562 1677509702.7819
CHLD 13 342.058594 1677509702.7819
CHLD 14 337.789062 1677509702.7819
CHLD 15 344.542969 1677509702.7819
CHLD 16 260.722656 1677509702.7819
CHLD 17 262.230469 1677509702.7820
CHLD 18 257.960938 1677509702.7820
CHLD 19 260.597656 1677509702.7820
CHLD 20 261.933594 1677509702.7820
CHLD 21 261.921875 1677509702.7820
CHLD 22 255.738281 1677509702.7820
CHLD 23 259.265625 1677509702.7821
CHLD 24 259.273438 1677509702.7821
CHLD 25 259.152344 1677509702.7821
CHLD 26 259.152344 1677509702.7821
CHLD 27 258.644531 1677509702.7821
CHLD 28 259.156250 1677509702.7821
CHLD 29 258.691406 1677509702.7822
CHLD 30 259.128906 1677509702.7822
CHLD 31 259.128906 1677509702.7822
CHLD 32 258.921875 1677509702.7822
CHLD 33 258.917969 1677509702.7822
CHLD 34 258.917969 1677509702.7822
CHLD 35 258.921875 1677509702.7823
CHLD 36 261.050781 1677509702.7823
MEM 12121.957031 1677509702.9012
CHLD 0 854.375000 1677509702.9193
CHLD 1 269.605469 1677509702.9193
CHLD 2 270.824219 1677509702.9194
CHLD 3 274.535156 1677509702.9194
CHLD 4 265.937500 1677509702.9194
CHLD 5 271.917969 1677509702.9194
CHLD 6 272.261719 1677509702.9194
CHLD 7 271.589844 1677509702.9195
CHLD 8 269.011719 1677509702.9195
CHLD 9 280.953125 1677509702.9195
CHLD 10 263.757812 1677509702.9195
CHLD 11 266.183594 1677509702.9195
CHLD 12 292.246094 1677509702.9195
CHLD 13 298.062500 1677509702.9196
CHLD 14 328.378906 1677509702.9196
CHLD 15 299.242188 1677509702.9196
CHLD 16 265.910156 1677509702.9196
CHLD 17 270.714844 1677509702.9196
CHLD 18 257.960938 1677509702.9196
CHLD 19 261.523438 1677509702.9197
CHLD 20 261.933594 1677509702.9197
CHLD 21 261.921875 1677509702.9197
CHLD 22 255.738281 1677509702.9197
CHLD 23 259.378906 1677509702.9197
CHLD 24 259.292969 1677509702.9197
CHLD 25 259.445312 1677509702.9198
CHLD 26 259.742188 1677509702.9198
CHLD 27 259.355469 1677509702.9198
CHLD 28 259.257812 1677509702.9198
CHLD 29 259.250000 1677509702.9198
CHLD 30 259.257812 1677509702.9198
CHLD 31 259.250000 1677509702.9199
CHLD 32 259.257812 1677509702.9199
CHLD 33 259.250000 1677509702.9199
CHLD 34 259.261719 1677509702.9199
CHLD 35 259.250000 1677509702.9199
CHLD 36 260.726562 1677509702.9199
CHLD 37 262.433594 1677509702.9200
CHLD 38 256.531250 1677509702.9200
CHLD 39 257.683594 1677509702.9200
CHLD 40 259.269531 1677509702.9200
CHLD 41 259.269531 1677509702.9200
MEM 13496.761719 1677509703.0395
CHLD 0 789.402344 1677509703.0577
CHLD 1 273.164062 1677509703.0577
CHLD 2 270.906250 1677509703.0577
CHLD 3 274.539062 1677509703.0578
CHLD 4 269.171875 1677509703.0578
CHLD 5 274.695312 1677509703.0578
CHLD 6 272.261719 1677509703.0578
CHLD 7 270.285156 1677509703.0578
CHLD 8 269.011719 1677509703.0578
CHLD 9 271.074219 1677509703.0579
CHLD 10 263.757812 1677509703.0579
CHLD 11 266.183594 1677509703.0579
CHLD 12 262.683594 1677509703.0579
CHLD 13 261.285156 1677509703.0579
CHLD 14 272.121094 1677509703.0579
CHLD 15 299.242188 1677509703.0580
CHLD 16 279.820312 1677509703.0580
CHLD 17 269.011719 1677509703.0580
