CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677595175.3849
MEM 21.632812 1677595175.5075
MEM 37.980469 1677595175.6300
MEM 52.632812 1677595175.7524
MEM 67.679688 1677595175.8741
MEM 80.246094 1677595175.9955
MEM 89.417969 1677595176.1172
MEM 94.878906 1677595176.2378
MEM 107.484375 1677595176.3598
MEM 109.804688 1677595176.4831
MEM 118.296875 1677595176.6047
MEM 121.683594 1677595176.7259
MEM 129.128906 1677595176.8479
MEM 133.480469 1677595176.9696
MEM 136.644531 1677595177.0904
MEM 138.667969 1677595177.2105
MEM 146.449219 1677595177.3313
MEM 171.687500 1677595177.4534
MEM 175.476562 1677595177.5742
MEM 178.546875 1677595177.6963
MEM 190.218750 1677595177.8183
MEM 196.660156 1677595177.9398
MEM 223.734375 1677595178.0628
MEM 499.199219 1677595178.1846
CHLD 0 249.019531 1677595178.1949
CHLD 1 249.019531 1677595178.1949
MEM 3052.960938 1677595178.3074
CHLD 0 249.019531 1677595178.3190
CHLD 1 286.257812 1677595178.3190
CHLD 2 249.019531 1677595178.3190
CHLD 3 249.023438 1677595178.3190
CHLD 4 249.023438 1677595178.3191
CHLD 5 249.015625 1677595178.3191
CHLD 6 249.015625 1677595178.3191
CHLD 7 249.015625 1677595178.3191
CHLD 8 249.015625 1677595178.3191
CHLD 9 249.015625 1677595178.3191
CHLD 10 249.015625 1677595178.3191
MEM 3149.226562 1677595178.4321
CHLD 0 249.019531 1677595178.4438
CHLD 1 292.027344 1677595178.4438
CHLD 2 296.562500 1677595178.4438
CHLD 3 249.023438 1677595178.4438
CHLD 4 249.023438 1677595178.4439
CHLD 5 249.015625 1677595178.4439
CHLD 6 249.015625 1677595178.4439
CHLD 7 249.015625 1677595178.4439
CHLD 8 249.015625 1677595178.4439
CHLD 9 249.015625 1677595178.4439
CHLD 10 249.015625 1677595178.4439
MEM 3181.820312 1677595178.5566
CHLD 0 249.019531 1677595178.5671
CHLD 1 295.976562 1677595178.5671
CHLD 2 292.734375 1677595178.5671
CHLD 3 332.335938 1677595178.5672
CHLD 4 249.023438 1677595178.5672
CHLD 5 249.015625 1677595178.5672
CHLD 6 249.015625 1677595178.5672
CHLD 7 249.015625 1677595178.5672
CHLD 8 249.015625 1677595178.5672
CHLD 9 249.015625 1677595178.5673
CHLD 10 249.015625 1677595178.5673
MEM 3256.171875 1677595178.6783
CHLD 0 249.019531 1677595178.6885
CHLD 1 295.976562 1677595178.6885
CHLD 2 295.949219 1677595178.6885
CHLD 3 291.707031 1677595178.6885
CHLD 4 291.531250 1677595178.6885
CHLD 5 272.117188 1677595178.6885
CHLD 6 249.015625 1677595178.6886
CHLD 7 249.015625 1677595178.6886
CHLD 8 249.015625 1677595178.6886
CHLD 9 249.015625 1677595178.6886
CHLD 10 249.015625 1677595178.6886
MEM 3334.589844 1677595178.8012
CHLD 0 249.019531 1677595178.8121
CHLD 1 307.070312 1677595178.8121
CHLD 2 300.687500 1677595178.8121
CHLD 3 294.242188 1677595178.8121
CHLD 4 293.613281 1677595178.8121
CHLD 5 291.535156 1677595178.8121
CHLD 6 334.789062 1677595178.8121
CHLD 7 249.015625 1677595178.8122
CHLD 8 249.015625 1677595178.8122
CHLD 9 249.015625 1677595178.8122
CHLD 10 249.015625 1677595178.8122
MEM 3387.210938 1677595178.9250
CHLD 0 249.019531 1677595178.9361
CHLD 1 308.664062 1677595178.9361
CHLD 2 301.730469 1677595178.9362
CHLD 3 303.808594 1677595178.9362
CHLD 4 297.609375 1677595178.9362
CHLD 5 293.105469 1677595178.9362
CHLD 6 292.652344 1677595178.9362
CHLD 7 288.984375 1677595178.9362
CHLD 8 249.015625 1677595178.9362
CHLD 9 249.015625 1677595178.9363
CHLD 10 249.015625 1677595178.9363
MEM 3493.617188 1677595179.0483
CHLD 0 249.019531 1677595179.0597
CHLD 1 308.664062 1677595179.0597
CHLD 2 301.730469 1677595179.0598
CHLD 3 307.878906 1677595179.0598
CHLD 4 305.316406 1677595179.0598
CHLD 5 300.964844 1677595179.0598
CHLD 6 298.437500 1677595179.0598
CHLD 7 297.449219 1677595179.0598
CHLD 8 292.027344 1677595179.0598
CHLD 9 272.121094 1677595179.0599
CHLD 10 249.015625 1677595179.0599
MEM 3724.054688 1677595179.1728
CHLD 0 249.019531 1677595179.1838
CHLD 1 308.664062 1677595179.1838
CHLD 2 301.730469 1677595179.1839
CHLD 3 307.878906 1677595179.1839
CHLD 4 305.316406 1677595179.1839
CHLD 5 358.082031 1677595179.1839
CHLD 6 355.617188 1677595179.1839
CHLD 7 353.585938 1677595179.1839
CHLD 8 294.023438 1677595179.1839
CHLD 9 291.539062 1677595179.1840
CHLD 10 331.843750 1677595179.1840
MEM 3936.964844 1677595179.2980
CHLD 0 249.019531 1677595179.3102
CHLD 1 315.976562 1677595179.3102
CHLD 2 304.621094 1677595179.3103
CHLD 3 310.484375 1677595179.3103
CHLD 4 361.566406 1677595179.3103
CHLD 5 362.222656 1677595179.3103
CHLD 6 528.500000 1677595179.3103
CHLD 7 358.257812 1677595179.3103
CHLD 8 296.996094 1677595179.3103
CHLD 9 296.761719 1677595179.3104
CHLD 10 292.742188 1677595179.3104
MEM 4318.089844 1677595179.4235
CHLD 0 249.019531 1677595179.4357
CHLD 1 346.242188 1677595179.4357
CHLD 2 304.625000 1677595179.4357
CHLD 3 310.484375 1677595179.4357
CHLD 4 365.703125 1677595179.4357
CHLD 5 627.214844 1677595179.4358
CHLD 6 530.675781 1677595179.4358
CHLD 7 358.257812 1677595179.4358
CHLD 8 296.996094 1677595179.4358
CHLD 9 296.761719 1677595179.4358
CHLD 10 295.980469 1677595179.4358
MEM 4562.511719 1677595179.5492
CHLD 0 249.019531 1677595179.5616
CHLD 1 346.242188 1677595179.5617
CHLD 2 304.625000 1677595179.5617
CHLD 3 310.484375 1677595179.5617
CHLD 4 619.531250 1677595179.5617
CHLD 5 533.015625 1677595179.5617
CHLD 6 290.082031 1677595179.5618
CHLD 7 358.257812 1677595179.5618
CHLD 8 315.367188 1677595179.5618
CHLD 9 307.746094 1677595179.5618
CHLD 10 302.863281 1677595179.5618
MEM 4453.246094 1677595179.6745
CHLD 0 249.019531 1677595179.6859
CHLD 1 346.242188 1677595179.6859
CHLD 2 304.625000 1677595179.6859
CHLD 3 315.671875 1677595179.6859
CHLD 4 536.570312 1677595179.6859
CHLD 5 533.015625 1677595179.6859
CHLD 6 293.976562 1677595179.6860
CHLD 7 381.531250 1677595179.6860
CHLD 8 306.683594 1677595179.6860
CHLD 9 304.550781 1677595179.6860
CHLD 10 302.082031 1677595179.6860
MEM 4720.171875 1677595179.7989
CHLD 0 249.019531 1677595179.8104
CHLD 1 346.242188 1677595179.8105
CHLD 2 305.625000 1677595179.8105
CHLD 3 315.671875 1677595179.8105
CHLD 4 536.570312 1677595179.8105
CHLD 5 284.625000 1677595179.8105
CHLD 6 351.804688 1677595179.8105
CHLD 7 580.800781 1677595179.8105
CHLD 8 306.683594 1677595179.8106
CHLD 9 304.550781 1677595179.8106
CHLD 10 302.082031 1677595179.8106
MEM 4736.386719 1677595179.9235
CHLD 0 249.019531 1677595179.9349
CHLD 1 346.257812 1677595179.9349
CHLD 2 305.781250 1677595179.9349
CHLD 3 315.671875 1677595179.9350
CHLD 4 536.570312 1677595179.9350
CHLD 5 292.722656 1677595179.9350
CHLD 6 351.816406 1677595179.9350
CHLD 7 552.660156 1677595179.9350
CHLD 8 306.683594 1677595179.9350
CHLD 9 304.550781 1677595179.9350
CHLD 10 363.863281 1677595179.9351
MEM 4712.882812 1677595180.0480
CHLD 0 249.019531 1677595180.0595
CHLD 1 346.257812 1677595180.0595
CHLD 2 305.781250 1677595180.0595
CHLD 3 376.085938 1677595180.0596
CHLD 4 536.570312 1677595180.0596
CHLD 5 354.531250 1677595180.0596
CHLD 6 356.339844 1677595180.0596
CHLD 7 552.660156 1677595180.0596
CHLD 8 306.683594 1677595180.0596
CHLD 9 304.550781 1677595180.0597
CHLD 10 363.863281 1677595180.0597
MEM 5017.566406 1677595180.1730
CHLD 0 249.019531 1677595180.1851
CHLD 1 346.257812 1677595180.1852
CHLD 2 315.738281 1677595180.1852
CHLD 3 376.226562 1677595180.1852
CHLD 4 365.832031 1677595180.1852
CHLD 5 358.796875 1677595180.1852
CHLD 6 361.300781 1677595180.1853
