CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677595837.8186
MEM 24.226562 1677595837.9404
MEM 42.656250 1677595838.0611
MEM 55.675781 1677595838.1807
MEM 71.250000 1677595838.3003
MEM 81.363281 1677595838.4197
MEM 89.402344 1677595838.5394
MEM 101.093750 1677595838.6587
MEM 108.136719 1677595838.7780
MEM 116.238281 1677595838.8971
MEM 121.285156 1677595839.0160
MEM 130.710938 1677595839.1365
MEM 133.546875 1677595839.2562
MEM 137.449219 1677595839.3762
MEM 138.738281 1677595839.4955
MEM 162.832031 1677595839.6151
MEM 175.128906 1677595839.7345
MEM 175.902344 1677595839.8540
MEM 185.746094 1677595839.9733
MEM 193.890625 1677595840.0922
MEM 229.320312 1677595840.2111
MEM 497.437500 1677595840.3300
CHLD 0 248.140625 1677595840.3392
CHLD 1 248.117188 1677595840.3392
CHLD 2 248.121094 1677595840.3392
MEM 3054.277344 1677595840.4496
CHLD 0 248.140625 1677595840.4592
CHLD 1 293.953125 1677595840.4592
CHLD 2 248.121094 1677595840.4593
CHLD 3 248.128906 1677595840.4593
CHLD 4 248.128906 1677595840.4593
CHLD 5 248.125000 1677595840.4593
CHLD 6 248.125000 1677595840.4593
CHLD 7 248.125000 1677595840.4593
CHLD 8 248.125000 1677595840.4593
CHLD 9 248.125000 1677595840.4594
CHLD 10 248.125000 1677595840.4594
MEM 3123.402344 1677595840.5715
CHLD 0 248.140625 1677595840.5818
CHLD 1 293.511719 1677595840.5818
CHLD 2 328.175781 1677595840.5818
CHLD 3 248.128906 1677595840.5818
CHLD 4 248.128906 1677595840.5819
CHLD 5 248.125000 1677595840.5819
CHLD 6 248.125000 1677595840.5819
CHLD 7 248.125000 1677595840.5819
CHLD 8 248.125000 1677595840.5819
CHLD 9 248.125000 1677595840.5819
CHLD 10 248.125000 1677595840.5819
MEM 3160.179688 1677595840.6941
CHLD 0 248.140625 1677595840.7045
CHLD 1 296.777344 1677595840.7045
CHLD 2 294.226562 1677595840.7046
CHLD 3 301.234375 1677595840.7046
CHLD 4 248.128906 1677595840.7046
CHLD 5 248.125000 1677595840.7046
CHLD 6 248.125000 1677595840.7046
CHLD 7 248.125000 1677595840.7046
CHLD 8 248.125000 1677595840.7046
