CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677596120.7581
MEM 28.714844 1677596120.8809
MEM 47.117188 1677596121.0034
MEM 59.667969 1677596121.1249
MEM 75.679688 1677596121.2460
MEM 85.363281 1677596121.3668
MEM 93.406250 1677596121.4875
MEM 105.101562 1677596121.6083
MEM 112.261719 1677596121.7301
MEM 120.242188 1677596121.8507
MEM 125.285156 1677596121.9710
MEM 134.578125 1677596122.0924
MEM 137.414062 1677596122.2123
MEM 141.453125 1677596122.3319
MEM 142.742188 1677596122.4510
MEM 168.316406 1677596122.5721
MEM 179.382812 1677596122.6930
MEM 180.414062 1677596122.8140
MEM 185.968750 1677596122.9341
MEM 196.128906 1677596123.0530
MEM 198.718750 1677596123.1721
MEM 244.183594 1677596123.2932
MEM 512.230469 1677596123.4132
CHLD 0 252.554688 1677596123.4227
MEM 511.199219 1677596123.5326
CHLD 0 252.554688 1677596123.5421
MEM 510.691406 1677596123.6519
CHLD 0 252.554688 1677596123.6613
MEM 3163.960938 1677596123.7718
CHLD 0 252.554688 1677596123.7820
CHLD 1 275.945312 1677596123.7820
CHLD 2 257.074219 1677596123.7821
CHLD 3 257.074219 1677596123.7821
CHLD 4 257.078125 1677596123.7821
CHLD 5 257.093750 1677596123.7821
CHLD 6 257.093750 1677596123.7821
CHLD 7 257.093750 1677596123.7821
CHLD 8 257.093750 1677596123.7821
CHLD 9 257.093750 1677596123.7822
CHLD 10 257.093750 1677596123.7822
MEM 3218.207031 1677596123.8951
CHLD 0 252.554688 1677596123.9069
CHLD 1 297.117188 1677596123.9070
CHLD 2 340.187500 1677596123.9070
CHLD 3 257.074219 1677596123.9070
CHLD 4 257.078125 1677596123.9070
CHLD 5 257.093750 1677596123.9070
CHLD 6 257.093750 1677596123.9070
CHLD 7 257.093750 1677596123.9071
CHLD 8 257.093750 1677596123.9071
CHLD 9 257.093750 1677596123.9071
CHLD 10 257.093750 1677596123.9071
MEM 3267.816406 1677596124.0200
CHLD 0 252.554688 1677596124.0313
CHLD 1 302.113281 1677596124.0313
